t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
0,0.0,0.0,0.0,4,0,0,0,0,0.0,0,0
1,1.0,1.0,0.0,4,0,0,0,0,0.30000000000000004,0,0
2,0.3333333333333333,0.3333333333333333,0.0,6,0,0,0,0,0.30183406846132665,0,0
3,0.0,0.0,0.0,7,0,0,0,0,0.2910909480917029,0,0
4,0.0,0.0,0.0,9,0,1,0,0,0.2621138006720868,1,0
5,1.0,1.0,0.0,9,0,2,0,0,0.3902556690100857,1,0
6,0.0,0.0,0.0,10,0,4,0,0,0.3631824770775134,2,0
7,1.0,1.0,0.0,10,0,4,0,0,0.273341096246559,0,0
8,1.0,1.0,0.0,10,0,4,0,0,0.24013628022475753,0,0
9,1.0,1.0,0.0,10,0,4,0,0,0.33538126328912654,0,0
10,1.0,1.0,0.0,11,0,4,0,0,0.3495144754267448,2,0
11,1.0,1.0,0.0,11,0,4,0,0,0.3854507679719446,0,0
12,0.0,0.0,0.0,12,0,4,0,0,0.37275521987457433,0,0
13,0.0,0.0,0.0,12,0,7,0,0,0.3127339120003696,3,0
14,0.0,0.0,0.0,12,0,8,0,0,0.29004884293314376,1,0
15,1.0,1.0,0.0,12,0,9,0,0,0.3070421375496372,3,0
16,0.0,0.0,0.0,13,0,9,0,0,0.2920969751496071,0,0
17,0.0,0.0,0.0,13,0,9,0,0,0.2863130675185611,0,0
18,1.0,1.0,0.0,13,0,9,0,0,0.2820243846411259,0,0
19,1.0,1.0,0.0,14,0,9,0,0,0.27500800048241064,2,0
20,1.0,1.0,0.0,14,0,9,0,0,0.29486522891046263,1,0
21,0.0,0.0,0.0,14,0,10,0,0,0.29098449951791316,1,0
22,0.0,0.0,0.0,14,0,11,0,0,0.28332043754488645,1,0
23,0.0,0.0,0.0,14,0,11,0,0,0.2777103170021872,0,0
24,0.0,0.0,0.0,15,0,11,0,0,0.25219280917409687,0,0
25,1.0,1.0,0.0,16,0,12,0,0,0.25104427073165153,4,0
26,0.0,0.0,0.0,16,0,13,0,0,0.22078900487250924,1,0
27,1.0,1.0,0.0,16,0,13,0,0,0.230382086547898,3,0
28,1.0,1.0,0.0,17,0,15,0,0,0.2158799985221973,2,0
29,1.0,1.0,0.0,17,0,17,0,0,0.25174283365759526,2,0
30,1.0,1.0,0.0,17,0,17,0,0,0.2635904931691148,2,0
31,0.0,0.0,0.0,17,0,18,0,0,0.24234642570450854,1,0
32,1.0,1.0,0.0,18,0,17,0,0,0.2509713957015263,0,0
33,1.0,1.0,0.0,18,0,19,0,0,0.23766939675382143,5,0
34,1.0,1.0,0.0,18,0,20,0,0,0.26069299261502354,4,0
35,0.0,0.0,0.0,18,0,22,0,0,0.26610420156549963,2,0
36,1.0,1.0,0.0,19,0,23,0,0,0.26975320126224595,2,0
37,1.0,1.0,0.0,19,0,24,0,0,0.2937517982161451,2,0
38,1.0,1.0,0.0,19,0,24,0,0,0.3009173974391301,2,0
39,0.6666666666666666,0.6666666666666666,0.0,18,0,28,0,0,0.27924705170881403,10,0
40,1.0,1.0,0.0,18,0,30,0,0,0.32817868817052614,6,0
41,1.0,1.0,0.0,18,0,31,0,0,0.3154057910502491,6,0
42,0.5,0.5,0.0,18,0,35,0,0,0.2965175987353955,9,0
43,1.0,1.0,0.0,18,0,37,0,0,0.30697970100127286,6,0
44,0.0,0.0,0.0,18,0,38,0,0,0.30571262382929826,1,0
45,1.0,1.0,0.0,18,0,39,0,0,0.3297682522071561,6,0
46,0.0,0.0,0.0,18,0,39,0,0,0.32323840331214193,0,0
47,0.0,0.0,0.0,18,0,40,0,0,0.3260351241937379,1,0
48,1.0,1.0,0.0,18,0,43,0,0,0.32246850316307063,7,0
49,0.0,0.0,0.0,18,0,43,0,0,0.31608319898365705,0,0
50,1.0,1.0,0.0,18,0,44,0,0,0.32272494222671644,5,0
51,1.0,1.0,0.0,13,0,51,0,0,0.0,9,0
52,0.0,0.0,0.0,13,0,54,0,0,0.0,2,0
53,1.0,1.0,0.0,13,0,56,0,0,0.0,6,0
54,0.0,0.0,0.0,13,0,58,0,0,0.0,2,0
55,0.0,0.0,0.0,13,0,60,0,0,0.0,2,0
56,0.0,0.0,0.0,13,0,64,0,0,0.0,3,0
57,1.0,1.0,0.0,13,0,65,0,0,0.0,11,0
58,0.0,0.0,0.0,13,0,66,0,0,0.0,1,0
59,1.0,1.0,0.0,14,0,65,0,0,0.0,8,0
60,0.5,0.5,0.21428571428571427,14,0,67,0,0,0.0,16,0
61,1.0,1.0,0.21428571428571427,14,0,69,0,0,0.0,3,0
62,0.0,0.0,0.15384615384615385,13,0,71,0,0,0.0,1,0
63,1.0,1.0,0.13333333333333333,15,0,72,0,0,0.0,10,0
64,0.0,0.0,0.07142857142857142,14,0,75,0,0,0.0,2,0
65,0.0,0.0,0.0,13,0,79,0,0,0.0,1,0
66,1.0,1.0,0.0,15,0,78,0,0,0.0,15,0
67,1.0,0.75,0.0,15,0,79,0,0,0.0,16,0
68,0.0,0.0,0.0,15,0,81,0,0,0.0,2,0
69,1.0,1.0,0.0,16,0,80,0,0,0.0,19,0
70,0.0,0.0,0.0,15,0,84,0,0,0.0,3,0
71,1.0,1.0,0.0,13,1,87,1,0,0.0,7,0
72,0.0,0.0,0.0,13,1,88,0,0,0.0,1,0
73,0.0,0.0,0.0,13,1,89,0,0,0.0,0,0
74,1.0,1.0,0.0,13,1,91,0,0,0.0,12,0
75,1.0,1.0,0.0,12,1,95,0,0,0.0,7,0
76,0.0,0.0,0.0,12,1,98,0,0,0.0,2,0
77,1.0,1.0,0.0,12,1,100,0,0,0.0,10,0
78,0.0,0.0,0.0,12,1,100,0,0,0.0,0,0
79,0.0,0.0,0.0,12,1,102,0,0,0.0,1,0
80,1.0,1.0,0.0,12,1,105,0,0,0.0,11,0
81,0.0,0.0,0.0,12,1,106,0,0,0.0,1,0
82,0.0,0.0,0.0,12,1,107,0,0,0.0,1,0
83,0.0,0.0,0.0,12,1,109,0,0,0.0,2,0
84,0.0,0.0,0.0,12,1,111,0,0,0.0,1,0
85,0.0,0.0,0.0,12,1,112,0,0,0.0,1,0
86,1.0,1.0,0.0,11,1,114,0,0,0.0,23,0
87,0.0,0.0,0.0,11,1,114,0,0,0.0,0,0
88,0.0,0.0,0.0,11,1,116,0,0,0.0,2,0
89,0.0,0.0,0.0,11,1,117,0,0,0.0,0,0
90,1.0,1.0,0.0,11,1,118,0,0,0.0,17,0
91,1.0,1.0,0.0,11,1,122,0,0,0.0,18,0
92,0.0,0.0,0.0,11,1,123,0,0,0.0,1,0
93,0.0,0.0,0.0,11,1,125,0,0,0.0,2,0
94,0.0,0.0,0.0,11,1,127,0,0,0.0,1,0
95,1.0,1.0,0.0,12,1,127,0,0,0.0,4,0
96,1.0,1.0,0.0,12,1,128,0,0,0.0,3,0
97,1.0,1.0,0.0,12,1,128,0,0,0.0,15,0
98,0.0,0.0,0.0,11,1,131,0,0,0.0,1,0
99,0.0,0.0,0.0,11,1,133,0,0,0.0,2,0
100,1.0,1.0,0.0,11,1,143,0,0,0.0,10,0
101,1.0,1.0,0.0,11,1,149,0,0,0.0,11,0
102,1.0,1.0,0.0,12,1,154,0,0,0.0,6,0
103,0.0,0.0,0.0,12,1,161,0,0,0.0,0,0
104,1.0,1.0,0.0,11,1,170,0,0,0.0,18,0
105,0.0,0.0,0.0,11,1,174,0,0,0.0,2,0
106,1.0,1.0,0.0,11,1,183,0,0,0.0,12,0
107,0.0,0.0,0.0,11,1,190,0,0,0.0,1,0
108,1.0,1.0,0.0,11,1,196,0,0,0.0,17,0
109,1.0,1.0,0.0,11,1,204,0,0,0.0,9,0
110,1.0,1.0,0.0,10,1,214,0,0,0.0,18,0
111,1.0,1.0,0.0,10,1,220,0,0,0.0,3,0
112,1.0,1.0,0.0,10,1,234,0,0,0.0,17,0
113,0.0,0.0,0.0,9,1,243,0,0,0.0,2,0
114,1.0,0.41666666666666663,0.2,14,1,244,0,0,0.15340565472821605,14,0
115,0.0,0.0,0.2,14,1,253,0,0,0.1503680192423515,0,0
116,1.0,1.0,0.21428571428571427,13,1,266,0,0,0.16228656781401696,12,0
117,1.0,0.75,0.25,15,1,271,0,0,0.13615924221591014,24,0
118,0.0,0.0,0.25,15,1,279,0,0,0.1334631085784882,0,0
119,0.0,0.0,0.25,15,1,289,0,0,0.13082036196402969,0,0
120,0.0,0.0,0.2857142857142857,13,1,301,0,0,0.1735484171598508,1,0
121,0.0,0.0,0.2857142857142857,13,1,306,0,0,0.1701119282545731,0,0
122,1.0,0.5,0.3125,15,1,310,0,0,0.16319455392478643,1,0
123,1.0,0.5,0.3333333333333333,17,1,315,0,0,0.16445536280991485,16,0
124,1.0,0.6666666666666666,0.3684210526315789,18,1,324,0,0,0.18446325446553957,11,0
125,1.0,0.5,0.4,19,1,329,0,0,0.19280979407824833,3,0
126,0.0,0.0,0.4,19,1,333,0,0,0.18899190435604774,0,0
127,1.0,1.0,0.4,19,1,342,0,0,0.20607536203749632,28,0
128,1.0,0.75,0.4,19,1,349,0,0,0.2145176861075599,43,0
129,1.0,0.6666666666666666,0.42105263157894735,18,1,361,0,0,0.26414882451917326,27,0
130,1.0,0.6666666666666666,0.42105263157894735,18,1,368,0,0,0.3143852069089497,35,0
131,1.0,0.5416666666666666,0.5217391304347826,21,2,377,1,0,0.24118494636528165,50,0
132,1.0,1.0,0.5217391304347826,22,1,384,0,0,0.2566027876594454,22,0
133,1.0,0.6666666666666666,0.5454545454545454,21,1,391,1,0,0.29066318833784965,27,0
134,1.0,0.6666666666666666,0.5714285714285714,20,1,404,0,0,0.34407702490619,28,0
135,0.0,0.0,0.5714285714285714,20,1,415,0,0,0.32599354731568847,1,0
136,1.0,1.0,0.5454545454545454,21,1,425,0,0,0.2864533609325429,7,0
137,0.0,0.0,0.5454545454545454,21,1,432,0,0,0.28078120435033976,0,0
138,0.0,0.0,0.5454545454545454,21,1,436,0,0,0.2752213639936759,0,0
139,1.0,0.75,0.5454545454545454,22,0,445,0,0,0.2482868289744234,39,0
140,0.0,0.0,0.5454545454545454,22,0,449,0,0,0.25107342500325414,1,0
141,0.0,0.0,0.5454545454545454,22,0,451,0,0,0.24501384400740156,1,0
142,1.0,0.5,0.5909090909090909,22,0,453,0,0,0.25645224730995786,15,0
143,0.0,0.0,0.5909090909090909,22,0,455,0,0,0.2490943567523739,1,0
144,1.0,0.75,0.5833333333333334,24,0,459,0,0,0.28167557078830713,21,0
145,0.0,0.0,0.5833333333333334,24,0,461,0,0,0.2760980207896217,0,0
146,1.0,1.0,0.5833333333333334,24,0,464,0,0,0.27063091368060815,22,0
147,1.0,0.8888888888888888,0.5833333333333334,24,0,468,0,0,0.3205833470085455,48,0
148,1.0,0.8888888888888888,0.5384615384615384,26,0,471,0,0,0.37199696638370083,37,0
149,0.0,0.0,0.5384615384615384,26,0,475,0,0,0.3597889784254312,2,0
150,1.0,1.0,0.5185185185185185,27,0,475,0,0,0.3837433725317746,5,0
151,1.0,1.0,0.5,28,0,477,0,0,0.383846124263926,3,0
152,1.0,0.75,0.5185185185185185,27,0,483,0,0,0.4031913805155983,53,0
153,1.0,1.0,0.5185185185185185,27,0,485,0,0,0.45853322886176395,4,0
154,1.0,0.75,0.5,28,0,487,0,0,0.4534784585790523,10,0
155,1.0,1.0,0.5,28,0,491,0,0,0.46106464582097517,8,0
156,1.0,0.75,0.5,28,0,493,0,0,0.48304975421656837,17,0
157,0.0,0.0,0.5,28,0,497,0,0,0.46849312279341526,3,0
158,0.0,0.0,0.5,28,0,500,0,0,0.455283969005977,1,0
159,0.0,0.0,0.5185185185185185,27,0,503,0,0,0.4716191843731627,2,0
160,0.0,0.0,0.5185185185185185,27,0,507,0,0,0.45754928162383496,2,0
161,1.0,1.0,0.4827586206896552,29,0,509,0,0,0.5629679293143217,49,0
162,0.0,0.0,0.4827586206896552,29,0,513,0,0,0.5491237231183945,2,0
163,1.0,0.6333333333333333,0.48484848484848486,33,0,512,0,0,0.4952068339205238,34,0
164,0.0,0.0,0.48484848484848486,33,0,514,0,0,0.4803449855696289,2,0
165,1.0,1.0,0.4838709677419355,31,0,520,0,0,0.4795465886108264,14,0
166,1.0,0.75,0.5161290322580645,31,0,524,0,0,0.5206070138834274,10,0
167,1.0,1.0,0.5333333333333333,30,0,527,0,0,0.5119098126947581,38,0
168,1.0,0.8333333333333334,0.5517241379310345,28,1,531,1,0,0.5405394598941309,17,0
169,1.0,1.0,0.5333333333333333,28,2,534,1,0,0.5338629191649997,34,0
170,0.0,0.0,0.5333333333333333,28,2,534,0,0,0.5232917250932043,0,0
171,1.0,0.5,0.5333333333333333,28,2,538,0,0,0.5000584027788042,27,0
172,0.0,0.0,0.5333333333333333,28,2,541,0,0,0.46957473574180375,2,0
173,1.0,1.0,0.5357142857142857,26,2,546,0,0,0.5137011100679076,17,0
174,0.0,0.0,0.5555555555555556,25,2,553,0,0,0.5195373067183264,3,0
175,1.0,0.75,0.5714285714285714,27,1,556,0,0,0.5568908498365504,76,0
176,1.0,0.75,0.5517241379310345,28,1,558,0,0,0.5185743428512585,25,0
177,0.0,0.0,0.5517241379310345,28,1,562,0,0,0.48407183062713643,2,0
178,0.0,0.0,0.5517241379310345,28,1,564,0,0,0.4725468493784425,1,0
179,0.0,0.0,0.5517241379310345,28,1,567,0,0,0.45520572592544906,1,0
180,1.0,1.0,0.5517241379310345,28,1,570,0,0,0.4490715392950801,27,0
181,0.0,0.0,0.5925925925925926,26,1,576,0,0,0.48841955449966346,4,0
182,0.0,0.0,0.5217391304347826,23,0,582,0,0,0.4769013852690639,1,0
183,1.0,0.875,0.5,26,0,584,0,0,0.43033059967451803,66,0
184,1.0,0.8888888888888888,0.5,26,0,585,0,0,0.44820169737818916,64,0
185,1.0,0.75,0.5,26,0,587,0,0,0.45992725204748597,34,0
186,1.0,1.0,0.5,26,0,589,0,0,0.46250171864407297,24,0
187,0.0,0.0,0.52,25,0,595,0,0,0.4649031093979413,2,0
188,0.0,0.0,0.52,25,0,595,0,0,0.45569741104804745,0,0
189,1.0,0.8333333333333334,0.5,26,0,598,0,0,0.4654504946318059,43,0
190,1.0,1.0,0.52,25,0,600,0,0,0.46769723959154746,30,0
191,0.0,0.0,0.52,25,0,601,0,0,0.4528045789677361,1,0
192,1.0,1.0,0.5416666666666666,24,0,604,0,0,0.48491154514666324,52,0
193,0.0,0.0,0.5416666666666666,24,0,604,0,0,0.4753096532238882,0,0
194,1.0,0.5,0.52,25,0,608,0,0,0.48291419047007966,32,0
195,1.0,1.0,0.52,25,0,609,0,0,0.5079020381491534,29,0
196,1.0,1.0,0.52,25,0,610,0,0,0.48791141718955067,30,0
197,1.0,0.25,0.5185185185185185,27,0,611,0,0,0.46730268054601637,12,0
198,0.0,0.0,0.5185185185185185,27,0,612,0,0,0.45804946750389564,0,0
199,0.0,0.0,0.5384615384615384,26,0,617,0,0,0.46255490293410806,2,0
200,0.0,0.0,0.5384615384615384,26,0,619,0,0,0.4618228267755282,2,0
201,0.0,0.0,0.56,25,0,624,0,0,0.4508905913132193,3,0
202,0.0,0.0,0.56,25,0,628,0,0,0.441962359411716,0,0
203,1.0,1.0,0.5833333333333334,24,0,634,0,0,0.4657377132353013,12,0
204,1.0,1.0,0.5833333333333334,24,0,637,0,0,0.47240119666938196,19,0
205,1.0,0.875,0.56,25,0,639,0,0,0.49055396116536315,75,0
206,1.0,1.0,0.5833333333333334,24,0,644,0,0,0.5284263574746233,14,0
207,1.0,1.0,0.5833333333333334,24,0,648,0,0,0.5279628145369469,18,0
208,1.0,1.0,0.5833333333333334,24,0,650,0,0,0.5360874113910643,44,0
209,0.0,0.0,0.5833333333333334,24,0,653,0,0,0.531369426361843,1,0
210,1.0,0.6666666666666666,0.6086956521739131,23,0,658,0,0,0.582656142959192,21,0
211,1.0,1.0,0.5833333333333334,24,0,659,0,0,0.5309213283391625,9,0
