t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
0,0.0,0.0,0.0,0,4,0,0,0,0.0,0,0
1,1.0,1.0,0.0,0,4,0,0,0,0.30000000000000004,0,0
2,0.3333333333333333,0.3333333333333333,0.0,0,6,0,0,0,0.30183406846132665,0,0
3,0.0,0.0,0.0,0,7,0,0,0,0.2910909480917029,0,0
4,0.0,0.0,0.0,0,9,0,0,0,0.2772147571399692,0,0
5,1.0,1.0,0.0,0,9,0,0,0,0.4217255371696521,0,0
6,0.0,0.0,0.0,0,10,0,0,0,0.4085370158247023,0,0
7,1.0,1.0,0.0,0,10,0,0,0,0.3326163745244716,0,0
8,1.0,1.0,0.0,0,10,0,0,0,0.32728860391660547,0,0
9,1.0,1.0,0.0,0,10,0,0,0,0.4208078553474767,0,0
10,1.0,1.0,0.0,0,11,0,0,0,0.3776587608139449,0,0
11,1.0,1.0,0.0,0,11,0,0,0,0.4130377591696447,0,0
12,0.0,0.0,0.0,0,12,0,0,0,0.3914231097882643,0,0
13,0.0,0.0,0.0,0,12,0,0,0,0.38367241291606113,0,0
14,0.0,0.0,0.0,0,12,0,0,0,0.3760751901247247,0,0
15,1.0,1.0,0.0,0,12,0,0,0,0.3534385182341923,0,0
16,0.0,0.0,0.0,0,13,0,0,0,0.32984553838800873,0,0
17,0.0,0.0,0.0,0,13,0,0,0,0.3233141591240787,0,0
18,1.0,1.0,0.0,0,13,0,0,0,0.32498949031744645,0,0
19,1.0,1.0,0.0,0,14,0,0,0,0.2722510621337377,0,0
20,1.0,1.0,0.0,0,14,0,0,0,0.29686012990984467,0,0
21,0.0,0.0,0.0,0,14,0,0,0,0.2909819054953007,0,0
22,0.0,0.0,0.0,0,14,0,0,0,0.28522007772276536,0,0
23,0.0,0.0,0.0,0,14,0,0,0,0.27957234178430423,0,0
24,0.0,0.0,0.0,0,15,0,0,0,0.2540179633951923,0,0
25,1.0,1.0,0.0,0,16,0,0,0,0.2642892460369209,0,0
26,0.0,0.0,0.0,0,16,0,0,0,0.25905596833463257,0,0
27,1.0,1.0,0.0,0,16,0,0,0,0.2839263164738035,0,0
28,1.0,1.0,0.0,0,17,0,0,0,0.27945777556778345,0,0
29,1.0,1.0,0.0,0,17,0,0,0,0.30119686812952556,0,0
30,1.0,1.0,0.0,0,17,0,0,0,0.3225054978174379,0,0
31,0.0,0.0,0.0,0,17,0,0,0,0.31611946109478734,0,0
32,0.0,0.0,0.0,0,17,0,0,0,0.30985987637155693,0,0
33,1.0,1.0,0.0,0,17,0,0,0,0.33099696700312253,0,0
34,1.0,1.0,0.0,0,17,0,0,0,0.3789882424704752,0,0
35,0.0,0.0,0.0,0,17,0,0,0,0.3714837724684187,0,0
36,1.0,1.0,0.0,0,18,0,0,0,0.3721220801170388,0,0
37,1.0,1.0,0.0,0,18,0,0,0,0.38975356923887156,0,0
38,1.0,1.0,0.0,0,18,0,0,0,0.40703593148451434,0,0
39,0.6666666666666666,0.6666666666666666,0.0,0,18,0,0,0,0.44897608002930045,0,0
40,1.0,1.0,0.0,0,18,0,0,0,0.5150857579911877,0,0
41,1.0,1.0,0.0,0,18,0,0,0,0.5298863766221666,0,0
42,0.5,0.5,0.0,0,18,0,0,0,0.5443939233683713,0,0
43,1.0,1.0,0.0,0,18,0,0,0,0.5586142014419371,0,0
44,0.0,0.0,0.0,0,18,0,0,0,0.5475528991436993,0,0
45,1.0,1.0,0.0,0,18,0,0,0,0.5726395334699694,0,0
46,0.0,0.0,0.0,0,18,0,0,0,0.5613005109902633,0,0
47,0.0,0.0,0.0,0,18,0,0,0,0.5501860161990598,0,0
48,1.0,1.0,0.0,0,18,0,0,0,0.5435177061363263,0,0
49,0.0,0.0,0.0,0,18,0,0,0,0.5327553344735578,0,0
50,1.0,1.0,0.0,0,18,0,0,0,0.5436346434766495,0,0
51,1.0,1.0,0.0,0,18,0,0,0,0.5542985277279743,0,0
52,0.0,0.0,0.0,0,18,0,0,0,0.543322681494848,0,0
53,1.0,1.0,0.0,0,19,0,0,0,0.5242456522205516,0,0
54,0.0,0.0,0.0,0,19,0,0,0,0.5138648927934194,0,0
55,0.0,0.0,0.0,0,19,0,0,0,0.5036896861750276,0,0
56,0.0,0.0,0.0,0,19,0,0,0,0.49371596214705804,0,0
57,1.0,1.0,0.0,0,19,0,0,0,0.5267968739440573,0,0
58,0.0,0.0,0.0,0,19,0,0,0,0.516365596942111,0,0
59,1.0,1.0,0.0,0,19,0,0,0,0.5019771777479233,0,0
60,0.5,0.5,0.15789473684210525,0,19,0,0,0,0.5120373636587836,0,0
61,1.0,1.0,0.15789473684210525,0,19,0,0,0,0.5218983445418284,0,0
62,0.0,0.0,0.10526315789473684,0,19,1,0,0,0.38170545555379154,1,0
63,1.0,1.0,0.10526315789473684,0,19,1,0,0,0.4447259214266405,0,0
64,0.0,0.0,0.05263157894736842,0,19,2,0,0,0.3718939034671514,1,0
65,0.0,0.0,0.0,0,20,3,0,0,0.2767341323356025,1,0
66,1.0,1.0,0.0,0,20,3,0,0,0.3398351382427642,2,0
67,1.0,1.0,0.0,0,20,3,0,0,0.39310595164857526,0,0
68,0.0,0.0,0.0,0,20,3,0,0,0.38532193227492284,0,0
69,1.0,1.0,0.0,0,20,3,0,0,0.4576920468118748,1,0
70,0.0,0.0,0.0,0,20,3,0,0,0.448629137068053,0,0
71,1.0,1.0,0.0,0,20,3,0,0,0.5197456849608602,0,0
72,0.0,0.0,0.0,0,20,3,0,0,0.5094540308555457,0,0
73,0.0,0.0,0.0,0,20,3,0,0,0.49936616515538473,0,0
74,1.0,1.0,0.0,0,20,3,0,0,0.5294780525795902,0,0
75,1.0,1.0,0.0,0,20,3,0,0,0.5389936846835586,0,0
