t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
0,0.0,0.0,0.0,4,0,0,0,0,0.0,0,0
1,1.0,1.0,0.0,4,0,0,0,0,0.30000000000000004,0,0
2,0.3333333333333333,0.3333333333333333,0.0,6,0,0,0,0,0.30183406846132665,0,0
3,0.0,0.0,0.0,7,0,0,0,0,0.2910909480917029,0,0
4,0.0,0.0,0.0,9,0,0,0,0,0.2772147571399692,0,0
5,1.0,1.0,0.0,9,0,0,0,0,0.4217255371696521,0,0
6,0.0,0.0,0.0,10,0,0,0,0,0.4085370158247023,0,0
7,1.0,1.0,0.0,10,0,0,0,0,0.3326163745244716,0,0
8,1.0,1.0,0.0,10,0,0,0,0,0.32728860391660547,0,0
9,1.0,1.0,0.0,10,0,0,0,0,0.4208078553474767,0,0
10,1.0,1.0,0.0,11,0,0,0,0,0.3776587608139449,0,0
11,1.0,1.0,0.0,11,0,0,0,0,0.4130377591696447,0,0
12,0.0,0.0,0.0,12,0,0,0,0,0.3914231097882643,0,0
13,0.0,0.0,0.0,12,0,0,0,0,0.38367241291606113,0,0
14,0.0,0.0,0.0,12,0,0,0,0,0.3760751901247247,0,0
15,1.0,1.0,0.0,12,0,0,0,0,0.3534385182341923,0,0
16,0.0,0.0,0.0,13,0,0,0,0,0.32984553838800873,0,0
17,0.0,0.0,0.0,13,0,0,0,0,0.3233141591240787,0,0
18,1.0,1.0,0.0,13,0,0,0,0,0.32498949031744645,0,0
19,1.0,1.0,0.0,14,0,0,0,0,0.2722510621337377,0,0
20,1.0,1.0,0.0,14,0,0,0,0,0.29686012990984467,0,0
21,0.0,0.0,0.0,14,0,0,0,0,0.2909819054953007,0,0
22,0.0,0.0,0.0,14,0,0,0,0,0.28522007772276536,0,0
23,0.0,0.0,0.0,14,0,0,0,0,0.27957234178430423,0,0
24,0.0,0.0,0.0,15,0,0,0,0,0.2540179633951923,0,0
25,1.0,1.0,0.0,16,0,0,0,0,0.2642892460369209,0,0
26,0.0,0.0,0.0,16,0,0,0,0,0.25905596833463257,0,0
27,1.0,1.0,0.0,15,1,0,1,0,0.2839263164738035,0,0
28,1.0,1.0,0.0,16,1,0,0,0,0.27945777556778345,0,0
29,1.0,1.0,0.0,16,1,0,0,0,0.30119686812952556,0,0
30,1.0,1.0,0.0,16,1,0,0,0,0.3225054978174379,0,0
31,0.0,0.0,0.0,16,1,0,0,0,0.31611946109478734,0,0
32,0.0,0.0,0.0,16,1,0,0,0,0.30985987637155693,0,0
33,1.0,1.0,0.0,16,1,0,0,0,0.33099696700312253,0,0
34,1.0,1.0,0.0,16,1,0,0,0,0.3789882424704752,0,0
35,0.0,0.0,0.0,16,1,0,0,0,0.3714837724684187,0,0
36,1.0,1.0,0.0,17,1,0,0,0,0.3721220801170388,0,0
37,1.0,1.0,0.0,17,1,0,0,0,0.38975356923887156,0,0
38,1.0,1.0,0.0,17,1,0,0,0,0.40703593148451434,0,0
39,0.6666666666666666,0.6666666666666666,0.0,17,1,0,0,0,0.44897608002930045,0,0
40,1.0,1.0,0.0,17,1,0,0,0,0.5150857579911877,0,0
41,1.0,1.0,0.0,17,1,0,0,0,0.5298863766221666,0,0
42,0.5,0.5,0.0,17,1,0,0,0,0.5443939233683713,0,0
43,1.0,1.0,0.0,17,1,0,0,0,0.5586142014419371,0,0
44,0.0,0.0,0.0,17,1,0,0,0,0.5475528991436993,0,0
45,1.0,1.0,0.0,17,1,0,0,0,0.5726395334699694,0,0
46,0.0,0.0,0.0,17,1,0,0,0,0.5613005109902633,0,0
47,0.0,0.0,0.0,17,1,0,0,0,0.5501860161990598,0,0
48,1.0,1.0,0.0,17,1,0,0,0,0.5435177061363263,0,0
49,0.0,0.0,0.0,17,1,0,0,0,0.5327553344735578,0,0
50,1.0,1.0,0.0,17,1,0,0,0,0.5436346434766495,0,0
51,1.0,1.0,0.0,13,1,4,0,0,0.0,0,0
52,0.0,0.0,0.0,13,1,5,0,0,0.0,0,0
53,1.0,1.0,0.0,13,1,6,0,0,0.0,0,0
54,0.0,0.0,0.0,13,1,6,0,0,0.0,0,0
55,0.0,0.0,0.0,13,1,6,0,0,0.0,0,0
56,0.0,0.0,0.0,13,1,7,0,0,0.0,0,0
57,1.0,1.0,0.0,13,1,7,0,0,0.0,0,0
58,0.0,0.0,0.0,12,1,8,0,0,0.0,0,0
59,1.0,1.0,0.0,13,1,7,0,0,0.0,1,0
60,0.5,0.5,0.21428571428571427,13,1,8,0,0,0.0,0,0
61,1.0,1.0,0.21428571428571427,13,1,8,0,0,0.0,0,0
62,0.0,0.0,0.15384615384615385,13,0,10,0,0,0.0,1,0
63,1.0,1.0,0.13333333333333333,15,0,9,0,0,0.0,0,0
64,0.0,0.0,0.07142857142857142,14,0,11,0,0,0.0,1,0
65,0.0,0.0,0.0,13,0,15,0,0,0.0,1,0
66,1.0,1.0,0.0,15,0,14,0,0,0.0,3,0
67,1.0,1.0,0.0,15,0,14,0,0,0.0,0,0
68,0.0,0.0,0.0,15,0,14,0,0,0.0,0,0
69,1.0,1.0,0.0,15,0,14,0,0,0.0,3,0
70,0.0,0.0,0.0,15,0,14,0,0,0.0,0,0
71,1.0,1.0,0.0,13,1,16,1,0,0.0,0,0
72,0.0,0.0,0.0,13,1,16,0,0,0.0,0,0
73,0.0,0.0,0.0,13,1,17,0,0,0.0,0,0
74,1.0,1.0,0.0,13,1,18,0,0,0.0,0,0
75,1.0,1.0,0.0,13,1,19,0,0,0.0,0,0
76,0.0,0.0,0.0,13,1,20,0,0,0.0,0,0
77,1.0,1.0,0.0,12,2,20,1,0,0.0,0,0
78,0.0,0.0,0.0,12,2,20,0,0,0.0,0,0
79,0.0,0.0,0.0,12,2,21,0,0,0.0,0,0
80,1.0,1.0,0.0,12,2,22,0,0,0.0,0,0
81,0.0,0.0,0.0,12,2,22,0,0,0.0,0,0
82,0.0,0.0,0.0,12,2,22,0,0,0.0,0,0
83,0.0,0.0,0.0,12,2,22,0,0,0.0,0,0
84,0.0,0.0,0.0,12,2,23,0,0,0.0,0,0
85,0.0,0.0,0.0,12,2,23,0,0,0.0,0,0
86,1.0,1.0,0.0,12,2,23,0,0,0.0,2,0
87,0.0,0.0,0.0,12,2,23,0,0,0.0,0,0
88,0.0,0.0,0.0,12,2,23,0,0,0.0,0,0
89,0.0,0.0,0.0,12,2,24,0,0,0.0,0,0
90,1.0,1.0,0.0,12,2,24,0,0,0.0,2,0
91,1.0,1.0,0.0,11,2,27,0,0,0.0,0,0
92,0.0,0.0,0.0,11,2,27,0,0,0.0,0,0
93,0.0,0.0,0.0,11,2,27,0,0,0.0,0,0
94,0.0,0.0,0.0,11,2,28,0,0,0.0,0,0
95,1.0,1.0,0.0,12,2,28,0,0,0.0,1,0
96,1.0,1.0,0.0,13,2,27,0,0,0.0,1,0
97,1.0,1.0,0.0,13,2,27,0,0,0.0,2,0
98,0.0,0.0,0.0,13,2,27,0,0,0.0,0,0
99,0.0,0.0,0.0,13,2,27,0,0,0.0,0,0
100,1.0,1.0,0.0,13,2,37,0,0,0.0,0,0
101,1.0,1.0,0.0,13,2,42,0,0,0.0,0,0
102,1.0,1.0,0.0,13,2,48,0,0,0.0,0,0
103,0.0,0.0,0.0,13,2,55,0,0,0.0,0,0
104,1.0,1.0,0.0,13,2,61,0,0,0.0,2,0
105,0.0,0.0,0.0,13,2,63,0,0,0.0,0,0
106,1.0,1.0,0.0,13,2,70,0,0,0.0,0,0
107,0.0,0.0,0.0,13,2,76,0,0,0.0,0,0
108,1.0,1.0,0.0,12,2,82,0,0,0.0,1,0
109,1.0,1.0,0.0,12,2,90,0,0,0.0,0,0
110,1.0,1.0,0.0,12,2,99,0,0,0.0,2,0
111,1.0,1.0,0.0,12,2,105,0,0,0.0,1,0
112,1.0,1.0,0.0,12,2,117,0,0,0.0,1,0
113,0.0,0.0,0.0,12,2,123,0,0,0.0,0,0
114,1.0,0.41666666666666663,0.16666666666666666,16,2,124,0,0,0.0,7,0
115,0.0,0.0,0.16666666666666666,16,2,132,0,0,0.0,0,0
116,1.0,1.0,0.16666666666666666,16,2,143,0,0,0.0,0,0
117,1.0,0.75,0.2,18,2,148,0,0,0.0,2,0
118,0.0,0.0,0.2,18,2,155,0,0,0.0,0,0
119,0.0,0.0,0.2,18,2,163,0,0,0.0,0,0
120,0.0,0.0,0.2222222222222222,16,2,174,0,0,0.0,0,0
121,0.0,0.0,0.2222222222222222,16,2,178,0,0,0.0,0,0
122,1.0,0.5,0.25,18,2,181,0,0,0.0,1,0
123,1.0,0.5,0.2857142857142857,19,2,187,0,0,0.0,0,0
124,1.0,0.6666666666666666,0.3181818181818182,20,2,194,0,0,0.0,0,0
125,1.0,0.5,0.34782608695652173,21,2,198,0,0,0.0,0,0
126,0.0,0.0,0.36363636363636365,20,2,202,0,0,0.0,0,0
127,1.0,1.0,0.36363636363636365,20,2,210,0,0,0.0,1,0
128,1.0,0.75,0.36363636363636365,20,2,216,0,0,0.0,3,0
129,1.0,0.5,0.36363636363636365,20,2,225,0,0,0.0,2,0
130,1.0,0.5833333333333333,0.36363636363636365,19,3,230,1,0,0.0,2,0
131,1.0,0.5416666666666666,0.4444444444444444,24,3,234,0,0,0.0,9,0
132,1.0,1.0,0.4444444444444444,24,3,239,0,0,0.0,1,0
133,1.0,0.5,0.4444444444444444,23,4,244,1,0,0.0,2,0
134,1.0,0.5,0.4444444444444444,23,4,254,0,0,0.0,2,0
135,0.0,0.0,0.4444444444444444,23,4,262,0,0,0.0,0,0
136,1.0,1.0,0.42857142857142855,24,4,271,0,0,0.0,5,0
137,0.0,0.0,0.42857142857142855,24,4,278,0,0,0.0,0,0
138,0.0,0.0,0.42857142857142855,24,4,281,0,0,0.0,0,0
139,1.0,0.75,0.42857142857142855,23,5,289,1,0,0.0,1,0
140,0.0,0.0,0.42857142857142855,23,5,291,0,0,0.0,0,0
141,0.0,0.0,0.42857142857142855,23,5,291,0,0,0.0,0,0
142,1.0,0.5,0.4482758620689655,24,5,290,0,0,0.0,0,0
143,0.0,0.0,0.4482758620689655,24,5,291,0,0,0.0,0,0
144,1.0,0.75,0.45161290322580644,26,5,293,0,0,0.0,1,0
145,0.0,0.0,0.45161290322580644,26,5,294,0,0,0.0,0,0
146,1.0,1.0,0.45161290322580644,26,5,295,0,0,0.0,1,0
147,1.0,0.7222222222222222,0.4666666666666667,25,5,298,0,0,0.0,2,0
148,1.0,0.8888888888888888,0.4375,27,5,299,0,0,0.0,15,0
149,0.0,0.0,0.4375,27,5,301,0,0,0.0,0,0
150,1.0,1.0,0.42424242424242425,28,5,300,0,0,0.0,4,0
151,1.0,1.0,0.4117647058823529,29,5,301,0,0,0.0,2,0
152,1.0,0.5,0.4117647058823529,29,5,302,0,0,0.0,2,0
153,1.0,1.0,0.4117647058823529,29,5,303,0,0,0.0,3,0
154,1.0,0.75,0.4117647058823529,29,5,303,0,0,0.0,3,0
155,1.0,1.0,0.4117647058823529,29,5,304,0,0,0.0,3,0
156,1.0,0.75,0.4117647058823529,29,5,304,0,0,0.0,2,0
157,0.0,0.0,0.4117647058823529,29,5,304,0,0,0.0,0,0
158,0.0,0.0,0.4117647058823529,29,5,305,0,0,0.0,0,0
159,0.0,0.0,0.4117647058823529,29,5,305,0,0,0.0,0,0
160,0.0,0.0,0.4117647058823529,29,5,306,0,0,0.0,0,0
161,1.0,1.0,0.3888888888888889,31,5,305,0,0,0.0,13,0
162,0.0,0.0,0.3888888888888889,31,5,305,0,0,0.0,0,0
163,1.0,0.5833333333333334,0.42105263157894735,33,5,303,0,0,0.0,0,0
164,0.0,0.0,0.42105263157894735,33,5,303,0,0,0.0,0,0
165,1.0,1.0,0.4166666666666667,31,5,305,0,0,0.0,4,0
166,1.0,0.75,0.42105263157894735,32,6,304,1,0,0.0,3,0
167,1.0,0.75,0.42105263157894735,31,7,304,1,0,0.0,6,0
168,1.0,0.8888888888888888,0.42105263157894735,31,7,304,0,0,0.0,8,0
169,1.0,1.0,0.42105263157894735,31,7,304,0,0,0.0,17,0
170,0.0,0.0,0.42105263157894735,31,7,304,0,0,0.0,0,0
171,1.0,0.5,0.42105263157894735,31,7,304,0,0,0.0,0,0
172,0.0,0.0,0.42105263157894735,31,7,304,0,0,0.0,0,0
173,1.0,1.0,0.4166666666666667,29,7,306,0,0,0.0,5,0
174,0.0,0.0,0.4166666666666667,29,7,308,0,0,0.0,0,0
175,1.0,0.75,0.42105263157894735,31,7,306,0,0,0.0,19,0
176,1.0,0.75,0.42105263157894735,31,7,306,0,0,0.0,10,0
177,0.0,0.0,0.42105263157894735,31,7,306,0,0,0.0,0,0
178,0.0,0.0,0.42105263157894735,31,7,306,0,0,0.0,0,0
179,0.0,0.0,0.42105263157894735,31,7,306,0,0,0.0,0,0
180,1.0,1.0,0.42105263157894735,31,7,306,0,0,0.0,12,0
181,0.0,0.0,0.42105263157894735,31,7,306,0,0,0.0,0,0
182,0.0,0.0,0.375,25,7,313,0,0,0.0,0,0
183,1.0,0.875,0.38235294117647056,28,6,313,0,0,0.0,17,0
184,1.0,0.8888888888888888,0.3939393939393939,27,6,314,0,0,0.0,9,0
185,1.0,0.75,0.4117647058823529,27,7,313,1,0,0.0,8,0
186,1.0,1.0,0.4117647058823529,27,7,314,0,0,0.0,12,0
187,0.0,0.0,0.4117647058823529,27,7,314,0,0,0.0,0,0
188,0.0,0.0,0.4117647058823529,27,7,314,0,0,0.0,0,0
189,1.0,0.8333333333333334,0.4,28,7,313,0,0,0.0,13,0
190,1.0,0.5,0.4,28,7,313,0,0,0.0,2,0
191,0.0,0.0,0.4,28,7,313,0,0,0.0,0,0
192,1.0,1.0,0.4,28,7,313,0,0,0.0,17,0
193,0.0,0.0,0.4,28,7,313,0,0,0.0,0,0
194,1.0,0.5,0.4,28,7,314,0,0,0.0,1,0
195,1.0,0.6666666666666666,0.4,28,7,314,0,0,0.0,3,0
196,1.0,1.0,0.4,28,7,314,0,0,0.0,1,0
197,1.0,0.25,0.4166666666666667,29,7,313,0,0,0.0,0,0
198,0.0,0.0,0.4166666666666667,29,7,314,0,0,0.0,0,0
199,0.0,0.0,0.4166666666666667,29,7,315,0,0,0.0,0,0
200,0.0,0.0,0.4166666666666667,29,7,315,0,0,0.0,0,0
201,0.0,0.0,0.4166666666666667,29,7,315,0,0,0.0,0,0
202,0.0,0.0,0.4166666666666667,29,7,317,0,0,0.0,0,0
203,1.0,1.0,0.4166666666666667,29,7,318,0,0,0.0,5,0
204,1.0,1.0,0.4166666666666667,29,7,318,0,0,0.0,5,0
205,1.0,0.875,0.4166666666666667,29,7,318,0,0,0.0,13,0
206,1.0,1.0,0.4166666666666667,29,7,319,0,0,0.0,5,0
207,1.0,1.0,0.4166666666666667,28,8,320,1,0,0.0,5,0
208,1.0,1.0,0.4166666666666667,27,9,320,1,0,0.0,17,0
209,0.0,0.0,0.4166666666666667,27,9,320,0,0,0.0,0,0
210,1.0,0.6666666666666666,0.4166666666666667,27,9,322,0,0,0.0,0,0
211,1.0,1.0,0.40540540540540543,28,9,321,0,0,0.0,5,0
212,1.0,0.8333333333333333,0.40540540540540543,28,9,321,0,0,0.0,7,0
213,1.0,0.3333333333333333,0.425,31,9,318,0,0,0.0,7,0
214,0.0,0.0,0.4166666666666667,27,9,322,0,0,0.0,0,0
215,1.0,0.5,0.4166666666666667,27,9,323,0,0,0.0,0,0
216,1.0,1.0,0.4166666666666667,27,9,324,0,0,0.0,1,0
217,1.0,0.75,0.4117647058823529,25,9,326,0,0,0.0,7,0
218,0.0,0.0,0.4117647058823529,25,9,327,0,0,0.0,0,0
219,1.0,0.6666666666666666,0.4117647058823529,25,9,327,0,0,0.0,3,0
