t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
0,0.0,0.0,0.0,4,0,0,0,0,0.0,0,0
1,1.0,1.0,0.0,4,0,0,0,0,0.0,0,0
2,0.3333333333333333,0.3333333333333333,0.0,6,0,0,0,0,0.004804267465313372,0,0
3,0.0,0.0,0.0,7,0,0,0,0,-5.726877715883649e-05,0,0
4,0.0,0.0,0.0,9,0,0,0,0,-0.008168338770516648,0,0
5,1.0,1.0,0.0,9,0,0,0,0,-0.00800659482598054,0,0
6,0.0,0.0,0.0,10,0,0,0,0,-0.01268584983470028,0,0
7,1.0,1.0,0.0,10,0,0,0,0,-0.023824672518436396,0,0
8,1.0,1.0,0.0,10,0,0,0,0,-0.0056334236990805975,0,0
9,1.0,1.0,0.0,10,0,0,0,0,-0.005521874436013652,0,0
10,1.0,1.0,0.0,11,0,0,0,0,-0.02338795535034499,0,0
11,1.0,1.0,0.0,11,0,0,0,0,-0.022924842805765844,0,0
12,0.0,0.0,0.0,12,0,0,0,0,-0.03590685427939411,0,0
13,0.0,0.0,0.0,12,0,0,0,0,-0.03519585092728117,0,0
14,0.0,0.0,0.0,12,0,0,0,0,-0.034498926384823325,0,0
15,1.0,1.0,0.0,12,0,0,0,0,-0.03620016052546565,0,0
16,0.0,0.0,0.0,13,0,0,0,0,-0.05207777760120513,0,0
17,0.0,0.0,0.0,13,0,0,0,0,-0.051046568513465396,0,0
18,1.0,1.0,0.0,13,0,0,0,0,-0.03451974396564006,0,0
19,1.0,1.0,0.0,14,0,0,0,0,-0.07490036490349034,0,0
20,1.0,1.0,0.0,14,0,0,0,0,-0.07341723830859304,0,0
21,0.0,0.0,0.0,14,0,0,0,0,-0.07196347958792881,0,0
22,0.0,0.0,0.0,14,0,0,0,0,-0.07053850721862565,0,0
23,0.0,0.0,0.0,14,0,0,0,0,-0.0691417511927358,0,0
24,0.0,0.0,0.0,15,0,0,0,0,-0.08779112790427085,0,0
25,1.0,1.0,0.0,16,0,0,0,0,-0.10075157177900046,0,0
26,0.0,0.0,0.0,16,0,0,0,0,-0.09875655699134661,0,0
27,1.0,1.0,0.0,16,0,0,0,0,-0.0968010461432609,0,0
28,1.0,1.0,0.0,17,0,0,0,0,-0.08707718418569521,0,0
29,1.0,1.0,0.0,17,0,0,0,0,-0.08535294041410646,0,0
30,1.0,1.0,0.0,17,0,0,0,0,-0.08366283895673765,0,0
31,0.0,0.0,0.0,17,0,0,0,0,-0.08200620375047102,0,0
32,0.0,0.0,0.0,17,0,0,0,0,-0.08038237211913507,0,0
33,1.0,1.0,0.0,17,0,0,0,0,-0.07879069450842618,0,0
34,1.0,1.0,0.0,17,0,0,0,0,-0.07723053422607717,0,0
35,0.0,0.0,0.0,17,0,0,0,0,-0.0757012671871728,0,0
36,1.0,1.0,0.0,18,0,0,0,0,-0.07968058725991406,0,0
37,1.0,1.0,0.0,18,0,0,0,0,-0.07810280592047092,0,0
38,1.0,1.0,0.0,18,0,0,0,0,-0.07655626674478061,0,0
39,0.6666666666666666,0.6666666666666666,0.0,18,0,0,0,0,-0.075040351096552,0,0
40,1.0,1.0,0.0,18,0,0,0,0,-0.07355445258931331,0,0
41,1.0,1.0,0.0,18,0,0,0,0,-0.07209797684384958,0,0
42,0.5,0.5,0.0,18,0,0,0,0,-0.07067034125044255,0,0
43,1.0,1.0,0.0,18,0,0,0,0,-0.06927097473581942,0,0
44,0.0,0.0,0.0,18,0,0,0,0,-0.06789931753471598,0,0
45,1.0,1.0,0.0,18,0,0,0,0,-0.030374724627154515,0,0
46,0.0,0.0,0.0,18,0,0,0,0,-0.02977326478159492,0,0
47,0.0,0.0,0.0,18,0,0,0,0,-0.029183714638930047,0,0
48,1.0,1.0,0.0,18,0,0,0,0,-0.02667277527648551,0,0
49,0.0,0.0,0.0,18,0,0,0,0,-0.026144618939420328,0,0
50,1.0,1.0,0.0,18,0,0,0,0,-0.025626920798530434,0,0
51,1.0,1.0,0.0,14,0,4,0,0,0.0,0,0
52,0.0,0.0,0.0,14,0,5,0,0,0.0,0,0
53,1.0,1.0,0.0,14,0,6,0,0,0.0,0,0
54,0.0,0.0,0.0,14,0,6,0,0,0.0,0,0
55,0.0,0.0,0.0,14,0,6,0,0,0.0,0,0
56,0.0,0.0,0.0,14,0,7,0,0,0.0,0,0
57,1.0,1.0,0.0,14,0,7,0,0,0.0,0,0
58,0.0,0.0,0.0,13,0,8,0,0,0.0,0,0
59,1.0,1.0,0.0,14,0,7,0,0,0.0,1,0
60,0.5,0.5,0.21428571428571427,14,0,8,0,0,0.0,0,0
61,1.0,1.0,0.21428571428571427,14,0,8,0,0,0.0,0,0
62,0.0,0.0,0.15384615384615385,13,0,10,0,0,0.0,1,0
63,1.0,1.0,0.13333333333333333,15,0,9,0,0,0.0,0,0
64,0.0,0.0,0.07142857142857142,14,0,11,0,0,0.0,1,0
65,0.0,0.0,0.0,13,0,15,0,0,0.0,1,0
66,1.0,1.0,0.0,15,0,14,0,0,0.0,3,0
67,1.0,1.0,0.0,15,0,14,0,0,0.0,0,0
68,0.0,0.0,0.0,15,0,14,0,0,0.0,0,0
69,1.0,1.0,0.0,15,0,14,0,0,0.0,3,0
70,0.0,0.0,0.0,15,0,14,0,0,0.0,0,0
71,1.0,1.0,0.0,14,0,16,0,0,0.0,0,0
72,0.0,0.0,0.0,14,0,16,0,0,0.0,0,0
73,0.0,0.0,0.0,14,0,17,0,0,0.0,0,0
74,1.0,1.0,0.0,14,0,18,0,0,0.0,0,0
75,1.0,1.0,0.0,14,0,19,0,0,0.0,0,0
76,0.0,0.0,0.0,14,0,20,0,0,0.0,0,0
77,1.0,1.0,0.0,14,0,20,0,0,0.0,0,0
78,0.0,0.0,0.0,14,0,20,0,0,0.0,0,0
79,0.0,0.0,0.0,14,0,21,0,0,0.0,0,0
80,1.0,1.0,0.0,14,0,22,0,0,0.0,0,0
81,0.0,0.0,0.0,14,0,22,0,0,0.0,0,0
