t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
0,0.0,0.0,0.0,0,4,0,0,0,0.0,0,0
1,1.0,1.0,0.0,0,4,0,0,0,0.0,0,0
2,0.3333333333333333,0.3333333333333333,0.0,0,6,0,0,0,0.0,0,0
3,0.0,0.0,0.0,0,7,0,0,0,0.0,0,0
4,0.0,0.0,0.0,0,9,1,0,0,-0.014285714285714346,1,0
5,1.0,1.0,0.0,0,9,2,0,0,-0.02857142857142858,1,0
6,0.0,0.0,0.0,0,10,4,0,0,-0.040000000000000036,2,0
7,1.0,1.0,0.0,0,10,4,0,0,-0.053333333333333344,0,0
8,1.0,1.0,0.0,0,10,4,0,0,-0.08000000000000007,0,0
9,1.0,1.0,0.0,0,10,4,0,0,-0.08000000000000007,0,0
10,1.0,1.0,0.0,0,11,4,0,0,-0.008914285714285763,2,0
11,1.0,1.0,0.0,0,11,4,0,0,-0.008914285714285763,0,0
12,0.0,0.0,0.0,0,12,4,0,0,-0.0009142857142857563,0,0
13,0.0,0.0,0.0,0,12,7,0,0,0.007657142857142918,3,0
14,0.0,0.0,0.0,0,12,8,0,0,-0.004342857142857204,1,0
15,1.0,1.0,0.0,0,12,9,0,0,0.04689999999999994,3,0
16,0.0,0.0,0.0,0,13,9,0,0,0.05489999999999995,0,0
17,0.0,0.0,0.0,0,13,9,0,0,0.05489999999999995,0,0
18,1.0,1.0,0.0,0,13,9,0,0,0.03724444444444441,0,0
19,1.0,1.0,0.0,0,14,9,0,0,0.09128000000000003,2,0
20,1.0,1.0,0.0,0,14,9,0,0,0.09728000000000003,1,0
21,0.0,0.0,0.0,0,14,10,0,0,0.098576,1,0
22,0.0,0.0,0.0,0,14,11,0,0,0.10217600000000004,1,0
23,0.0,0.0,0.0,0,14,11,0,0,0.10217600000000004,0,0
24,0.0,0.0,0.0,0,15,11,0,0,0.10217600000000004,0,0
25,1.0,1.0,0.0,0,16,12,0,0,0.11640960000000011,4,0
26,0.0,0.0,0.0,0,16,13,0,0,0.0997429333333334,1,0
27,1.0,1.0,0.0,0,16,13,0,0,0.10065739093333337,3,0
28,1.0,1.0,0.0,0,17,15,0,0,0.0824158099393939,2,0
29,1.0,1.0,0.0,0,17,17,0,0,0.09332490084848488,2,0
30,1.0,1.0,0.0,0,17,17,0,0,0.09520999175757583,2,0
31,0.0,0.0,0.0,0,17,18,0,0,0.08520999175757582,1,0
32,1.0,1.0,0.0,1,17,17,0,0,0.07449804800000004,0,0
33,1.0,1.0,0.0,1,17,19,0,0,0.06371138133333343,4,0
34,1.0,1.0,0.0,1,17,20,0,0,0.058981461333333374,4,0
35,0.0,0.0,0.0,1,17,22,0,0,0.07564812800000009,2,0
36,1.0,1.0,0.0,1,18,23,0,0,0.07705981046153842,2,0
37,1.0,1.0,0.0,1,18,24,0,0,0.08227334892307692,2,0
38,1.0,1.0,0.0,1,18,24,0,0,0.08284757661538467,2,0
39,0.6666666666666666,0.6666666666666666,0.0,0,18,28,0,0,0.0879881856000001,10,0
40,1.0,1.0,0.0,0,18,30,0,0,0.10407216640000005,5,0
41,1.0,1.0,0.0,0,18,31,0,0,0.09418834207948812,6,0
42,0.5,0.5,0.0,0,18,35,0,0,0.08063148619365834,9,0
43,1.0,1.0,0.0,0,18,37,0,0,0.08780750648114632,6,0
44,0.0,0.0,0.0,0,18,38,0,0,0.09614083981447963,1,0
45,1.0,1.0,0.0,0,18,39,0,0,0.09477981584818462,6,0
46,0.0,0.0,0.0,0,18,39,0,0,0.09477981584818462,0,0
47,0.0,0.0,0.0,0,18,40,0,0,0.09754904661741548,1,0
48,1.0,1.0,0.0,0,18,43,0,0,0.10999223459000007,7,0
49,0.0,0.0,0.0,0,18,43,0,0,0.10999223459000007,0,0
50,1.0,1.0,0.0,0,18,44,0,0,0.1110112071372531,5,0
51,1.0,1.0,0.0,0,18,46,0,0,0.1084808324149018,9,0
52,0.0,0.0,0.0,0,18,49,0,0,0.08535694670061611,3,0
53,1.0,1.0,0.0,0,19,50,0,0,0.11485244384347326,6,0
54,0.0,0.0,0.0,0,19,52,0,0,0.1151859621405047,2,0
55,0.0,0.0,0.0,0,19,54,0,0,0.11361110200441427,2,0
56,0.0,0.0,0.0,0,19,58,0,0,0.10566614020847431,4,0
57,1.0,1.0,0.0,0,19,59,0,0,0.10760114738872473,11,0
58,0.0,0.0,0.0,0,19,60,0,0,0.10764433751443914,1,0
59,1.0,1.0,0.0,0,19,60,0,0,0.10222202747264142,8,0
60,0.5,0.5,0.15789473684210525,0,19,62,0,0,0.09373856664166291,17,0
61,1.0,1.0,0.15789473684210525,0,19,64,0,0,0.09878919064166303,3,0
62,0.0,0.0,0.10526315789473684,0,19,65,0,0,0.119552629594737,1,0
63,1.0,1.0,0.10526315789473684,0,19,68,0,0,0.06935124261457548,11,0
64,0.0,0.0,0.05263157894736842,0,19,70,0,0,0.09647634964937313,2,0
65,0.0,0.0,0.0,0,20,72,0,0,0.12181009047954494,2,0
66,1.0,1.0,0.0,0,20,73,0,0,0.07253255460608166,16,0
67,1.0,0.75,0.0,0,20,74,0,0,0.0803315959067501,15,0
68,0.0,0.0,0.0,0,20,76,0,0,0.08324999590675008,2,0
69,1.0,1.0,0.0,0,20,76,0,0,0.09051616408339003,19,0
70,0.0,0.0,0.0,0,20,79,0,0,0.092032055852734,3,0
71,1.0,1.0,0.0,0,20,81,0,0,0.09837905970495675,8,0
72,0.0,0.0,0.0,0,20,82,0,0,0.10237905970495675,1,0
73,0.0,0.0,0.0,0,20,83,0,0,0.08237905970495674,1,0
74,1.0,1.0,0.0,0,20,85,0,0,0.06538870027856392,13,0
75,1.0,1.0,0.0,0,20,88,0,0,0.05452366509976081,8,0
76,0.0,0.0,0.0,0,20,91,0,0,0.05692367648672869,3,0
77,1.0,1.0,0.0,0,20,93,0,0,0.062146092749035375,10,0
78,0.0,0.0,0.0,0,20,93,0,0,0.062146092749035375,0,0
79,0.0,0.0,0.0,0,20,95,0,0,0.05546449274903542,2,0
80,1.0,1.0,0.0,0,20,98,0,0,0.0549252664743336,12,0
81,0.0,0.0,0.0,0,20,99,0,0,0.05492526648324525,1,0
82,0.0,0.0,0.0,0,20,100,0,0,0.05523630648324518,1,0
83,0.0,0.0,0.0,0,20,102,0,0,0.05589608104980914,2,0
84,0.0,0.0,0.0,0,20,104,0,0,0.051643265689808926,2,0
85,0.0,0.0,0.0,0,20,105,0,0,0.05182988968980906,1,0
86,1.0,1.0,0.0,1,20,105,0,0,0.03748898205898288,23,0
87,0.0,0.0,0.0,1,20,105,0,0,0.03748898205898288,0,0
88,0.0,0.0,0.0,1,20,107,0,0,0.03748898206464535,2,0
89,0.0,0.0,0.0,1,20,108,0,0,0.03489698206464542,1,0
90,1.0,1.0,0.0,1,20,109,0,0,0.03597333852472251,17,0
91,1.0,1.0,0.0,1,20,113,0,0,0.036288166305534775,20,0
92,0.0,0.0,0.0,1,20,114,0,0,0.036325957665534814,1,0
93,0.0,0.0,0.0,1,20,116,0,0,0.037676592415264,2,0
94,0.0,0.0,0.0,1,20,118,0,0,0.036121773265101575,2,0
95,1.0,1.0,0.0,1,20,119,0,0,0.037884333265101544,4,0
96,1.0,1.0,0.0,1,20,120,0,0,0.02952831826324842,3,0
97,1.0,1.0,0.0,1,20,120,0,0,0.02952884088227825,15,0
98,0.0,0.0,0.0,1,20,122,0,0,0.03029887658464059,2,0
99,0.0,0.0,0.0,1,20,124,0,0,0.030484885823228836,2,0
100,1.0,1.0,0.3,1,29,125,0,0,0.16762124438245574,11,0
101,1.0,1.0,0.4,1,34,126,0,0,0.18479678251926623,11,0
102,1.0,1.0,0.4878048780487805,1,40,126,0,0,0.19590412454624184,6,0
103,0.0,0.0,0.5531914893617021,1,46,127,0,0,0.20332429082075154,1,0
104,1.0,1.0,0.6037735849056604,1,52,129,0,0,0.20786164361700077,18,0
105,0.0,0.0,0.6181818181818182,1,54,131,0,0,0.20904248781326928,2,0
106,1.0,1.0,0.6557377049180327,1,60,134,0,0,0.2119140012044769,13,0
107,0.0,0.0,0.6865671641791045,1,66,135,0,0,0.2141005578503663,1,0
108,1.0,1.0,0.704225352112676,1,70,137,0,0,0.21529490914303717,18,0
109,1.0,1.0,0.7341772151898734,1,78,137,0,0,0.21722864178354084,9,0
110,1.0,1.0,0.7613636363636364,1,87,137,0,0,0.2233201979492363,18,0
111,1.0,1.0,0.7717391304347826,1,91,139,0,0,0.2248988794711142,5,0
112,1.0,1.0,0.7980769230769231,1,103,141,0,0,0.22450028514423126,18,0
113,0.0,0.0,0.8073394495412844,1,108,144,0,0,0.22497468415251454,3,0
114,1.0,0.41666666666666663,0.8157894736842105,1,113,145,0,0,0.19519337459814212,14,0
115,0.0,0.0,0.8264462809917356,1,120,147,0,0,0.195840875493015,2,0
116,1.0,1.0,0.8396946564885496,1,130,149,0,0,0.19634561790219918,13,0
117,1.0,0.75,0.8478260869565217,1,137,149,0,0,0.18787381624867738,24,0
118,0.0,0.0,0.8551724137931035,1,144,150,0,0,0.18815164363374626,1,0
119,0.0,0.0,0.8627450980392157,1,152,152,0,0,0.18748270925304578,2,0
120,0.0,0.0,0.8695652173913043,1,160,154,0,0,0.18763817892612067,2,0
121,0.0,0.0,0.8727272727272727,1,164,155,0,0,0.18718470908807872,1,0
122,1.0,0.5,0.8764705882352941,1,169,156,0,0,0.1786833453147374,2,0
123,1.0,0.5,0.8813559322033898,1,176,156,0,0,0.17658263238100202,16,0
124,1.0,0.6666666666666666,0.8858695652173914,1,183,159,0,0,0.16945399797404204,13,0
125,1.0,0.5,0.8888888888888888,1,188,160,0,0,0.16304640296685924,4,0
126,0.0,0.0,0.890625,1,191,161,0,0,0.16299991675521763,1,0
127,1.0,1.0,0.895,1,199,162,0,0,0.16307415441853634,29,0
128,1.0,0.75,0.8980582524271845,1,205,163,0,0,0.1666681006290356,42,0
129,1.0,0.6666666666666666,0.9023255813953488,1,214,165,0,0,0.16541373205617915,27,0
130,1.0,0.6666666666666666,0.9045454545454545,1,219,167,0,0,0.16407765283625098,37,0
131,1.0,0.5416666666666666,0.9122807017543859,0,228,172,0,0,0.14884857418787245,50,0
132,1.0,1.0,0.9141630901287554,0,233,174,0,0,0.1489082448393284,21,0
133,1.0,0.5,0.9159663865546218,0,238,175,0,0,0.1492094421200787,27,0
134,1.0,0.5,0.9190283400809717,0,247,178,0,0,0.1481943451658726,30,0
135,0.0,0.0,0.9215686274509803,0,255,181,0,0,0.1481783283368604,3,0
136,1.0,1.0,0.9245283018867925,0,265,182,0,0,0.14849143894193872,7,0
137,0.0,0.0,0.9264705882352942,0,272,182,0,0,0.14855047834850676,0,0
138,0.0,0.0,0.9272727272727272,0,275,183,0,0,0.14842467126747116,1,0
139,1.0,0.75,0.9293286219081273,0,283,184,0,0,0.14999724227015165,40,0
140,0.0,0.0,0.9228070175438596,0,285,186,0,0,0.14830812993265896,2,0
141,0.0,0.0,0.9228070175438596,0,285,188,0,0,0.14840144397963984,2,0
142,1.0,0.5,0.9228070175438596,0,285,190,0,0,0.1427741937934982,15,0
143,0.0,0.0,0.9195804195804196,0,286,191,0,0,0.14278159927454437,1,0
144,1.0,0.75,0.9163763066202091,0,287,196,0,0,0.1366318450839793,25,0
145,0.0,0.0,0.9163763066202091,0,287,198,0,0,0.1363661549608991,2,0
146,1.0,1.0,0.9163763066202091,0,287,201,0,0,0.13616315015261993,25,0
147,1.0,0.8888888888888888,0.9163763066202091,0,287,205,0,0,0.1407434796810757,50,0
148,1.0,0.8888888888888888,0.9131944444444444,0,288,209,0,0,0.14636530223778055,40,0
149,0.0,0.0,0.9131944444444444,0,288,213,0,0,0.14717981010430037,4,0
150,1.0,1.0,0.9131944444444444,0,288,214,0,0,0.1503138110905584,5,0
151,1.0,1.0,0.9131944444444444,0,288,217,0,0,0.15055669874744648,4,0
152,1.0,0.75,0.9131944444444444,0,288,222,0,0,0.1579181984208936,55,0
153,1.0,1.0,0.9100346020761245,1,288,223,0,0,0.156270015800282,4,0
154,1.0,0.75,0.9131944444444444,0,288,227,0,0,0.15921745808964383,11,0
155,1.0,1.0,0.9100346020761245,0,289,230,0,0,0.15890379470645344,10,0
156,1.0,0.75,0.9100346020761245,0,289,232,0,0,0.15758392804945498,18,0
