unit_id,rank,target_similarity,hard_negative_id,hard_negative_similarity,margin,top_5_ids
0,1,0.5089833736419678,4,0.4778634309768677,0.031119942665100098,0 4 1 78 66
1,2,0.43746352195739746,66,0.460697740316391,-0.02323421835899353,66 1 0 41 78
2,1,0.6859731674194336,6,0.6706600785255432,0.01531308889389038,2 6 46 3 41
3,3,0.574485719203949,2,0.6268699765205383,-0.052384257316589355,2 6 3 46 20
4,2,0.5222799777984619,0,0.5235702991485596,-0.0012903213500976562,0 4 38 78 66
5,6,0.6558303833007812,43,0.7046766877174377,-0.048846304416656494,43 45 13 46 18
6,1,0.592369794845581,45,0.5352575778961182,0.05711221694946289,6 45 46 41 54
7,7,0.35495439171791077,66,0.4276398718357086,-0.07268548011779785,66 59 82 65 13
8,2,0.34934985637664795,66,0.39216628670692444,-0.04281643033027649,66 8 54 74 41
9,4,0.48249948024749756,66,0.573147714138031,-0.09064823389053345,66 33 65 9 32
10,2,0.4268192648887634,66,0.4404379427433014,-0.013618677854537964,66 10 11 9 74
11,1,0.5094519257545471,12,0.4846705496311188,0.024781376123428345,11 12 13 66 61
12,8,0.3915424048900604,66,0.4329149127006531,-0.04137250781059265,66 41 1 13 82
13,4,0.5434459447860718,12,0.7046571373939514,-0.16121119260787964,12 11 33 13 73
14,68,0.3076992928981781,66,0.4691044092178345,-0.16140511631965637,66 17 65 41 68
15,1,0.4109039008617401,66,0.41081732511520386,8.657574653625488e-05,15 66 16 17 61
16,7,0.39486002922058105,66,0.4477960467338562,-0.052936017513275146,66 15 17 78 65
17,6,0.2846890389919281,66,0.3743956685066223,-0.08970662951469421,66 78 95 65 0
18,10,0.49623826146125793,38,0.5427032709121704,-0.046465009450912476,38 41 46 43 17
19,2,0.5424080491065979,66,0.5550762414932251,-0.012668192386627197,66 19 68 71 62
20,79,0.20791783928871155,66,0.4039406180381775,-0.19602277874946594,66 65 17 54 41
21,30,0.3929533064365387,65,0.4880358576774597,-0.09508255124092102,65 66 3 17 43
22,4,0.4978483319282532,23,0.5519066452980042,-0.05405831336975098,23 21 25 22 19
23,1,0.6537626385688782,27,0.6245418190956116,0.0292208194732666,23 27 53 28 26
24,30,0.5381263494491577,43,0.6598336100578308,-0.1217072606086731,43 6 46 45 2
25,1,0.5014755725860596,65,0.4605596363544464,0.04091593623161316,25 65 66 70 19
26,2,0.5755199193954468,27,0.5867164134979248,-0.011196494102478027,27 26 28 53 23
27,1,0.6267566680908203,53,0.5448750853538513,0.081881582736969,27 53 28 50 23
28,1,0.7231764197349548,27,0.628524124622345,0.09465229511260986,28 27 54 20 86
29,19,0.3953472375869751,65,0.4741893708705902,-0.07884213328361511,65 66 32 78 71
30,1,0.48170751333236694,31,0.45812079310417175,0.02358672022819519,30 31 28 54 27
31,1,0.5258976221084595,23,0.5207020044326782,0.00519561767578125,31 23 25 70 66
32,19,0.4942324757575989,43,0.5683791637420654,-0.07414668798446655,43 45 13 17 18
33,1,0.6447707414627075,34,0.5514186024665833,0.09335213899612427,33 34 87 94 82
34,1,0.6393762826919556,43,0.6037824749946594,0.03559380769729614,34 43 13 45 62
35,21,0.4491283595561981,66,0.5991913676261902,-0.15006300806999207,66 65 13 69 74
36,87,0.33831849694252014,66,0.5550066232681274,-0.2166881263256073,66 78 95 65 82
37,2,0.47109347581863403,78,0.4772768020629883,-0.006183326244354248,78 37 9 87 0
38,3,0.6720333099365234,45,0.7369689345359802,-0.06493562459945679,45 43 38 46 13
39,6,0.550870418548584,1,0.6424463391304016,-0.09157592058181763,1 0 78 82 44
40,2,0.5949877500534058,87,0.5967850685119629,-0.001797318458557129,87 40 85 75 102
41,4,0.4447843134403229,66,0.4781637191772461,-0.03337940573692322,66 78 33 41 65
42,25,0.47579073905944824,0,0.6356689929962158,-0.15987825393676758,0 44 43 13 45
43,7,0.3710251450538635,66,0.4698673486709595,-0.09884220361709595,66 44 95 65 78
44,33,0.34453776478767395,66,0.4691044092178345,-0.12456664443016052,66 17 65 41 68
45,3,0.5846130847930908,41,0.6125882863998413,-0.02797520160675049,41 99 45 100 82
46,29,0.3103254437446594,66,0.4024733006954193,-0.09214785695075989,66 78 95 17 65
47,1,0.4898928701877594,89,0.41584312915802,0.07404974102973938,47 89 17 49 66
48,1,0.4126405417919159,66,0.3593232035636902,0.05331733822822571,48 66 49 47 17
49,7,0.5717618465423584,62,0.6194003820419312,-0.047638535499572754,62 13 43 5 52
50,1,0.6445430517196655,28,0.5307623744010925,0.113780677318573,50 28 54 86 8
51,1,0.6407629251480103,54,0.5980280041694641,0.04273492097854614,51 54 48 86 62
52,5,0.5471729636192322,74,0.600830614566803,-0.0536576509475708,74 62 13 82 52
53,1,0.6007542014122009,27,0.5618369579315186,0.03891724348068237,53 27 23 28 26
54,1,0.4684009253978729,66,0.4237542152404785,0.04464671015739441,54 66 28 23 74
55,12,0.3454098403453827,66,0.4318785071372986,-0.0864686667919159,66 17 41 78 47
56,1,0.7775123715400696,52,0.7175691723823547,0.059943199157714844,56 52 62 55 57
57,13,0.305733859539032,66,0.38782358169555664,-0.08208972215652466,66 25 51 19 86
58,3,0.398330420255661,66,0.4126640856266022,-0.014333665370941162,66 49 58 25 48
59,2,0.3713662922382355,66,0.4276398718357086,-0.056273579597473145,66 59 82 65 13
60,51,0.32306382060050964,66,0.4691044092178345,-0.14604058861732483,66 17 65 41 68
61,5,0.4131028652191162,15,0.4547055959701538,-0.0416027307510376,15 66 76 17 61
62,25,0.38016384840011597,66,0.506813645362854,-0.12664979696273804,66 65 67 14 17
63,21,0.3580024838447571,66,0.4691044092178345,-0.11110192537307739,66 17 65 41 68
64,58,0.2496558576822281,66,0.3703061640262604,-0.12065030634403229,66 65 17 13 101
65,2,0.3948711156845093,66,0.5760900378227234,-0.1812189221382141,66 65 17 78 67
66,1,0.4671294391155243,65,0.35261836647987366,0.11451107263565063,66 65 78 95 1
67,12,0.24963828921318054,66,0.4206409454345703,-0.17100265622138977,66 65 78 17 54
68,34,0.353222519159317,47,0.41478416323661804,-0.061561644077301025,47 41 25 51 78
69,1,0.5412964820861816,74,0.49201223254203796,0.04928424954414368,69 74 66 13 77
70,1,0.5827809572219849,25,0.5337449312210083,0.04903602600097656,70 25 59 83 66
71,5,0.445841908454895,66,0.5406699180603027,-0.09482800960540771,66 68 65 17 71
72,3,0.5780054330825806,78,0.6068713068962097,-0.02886587381362915,78 1 72 85 82
73,1,0.6851316690444946,66,0.527230978012085,0.15790069103240967,73 66 88 13 17
74,1,0.518456757068634,68,0.5099633932113647,0.008493363857269287,74 68 66 19 84
75,17,0.3806816339492798,66,0.42481574416160583,-0.04413411021232605,66 103 5 77 7
76,25,0.3645009398460388,66,0.4632514715194702,-0.0987505316734314,66 95 75 94 65
77,1,0.45865535736083984,95,0.4487707018852234,0.009884655475616455,77 95 78 66 75
78,7,0.5386396646499634,72,0.6242418885231018,-0.08560222387313843,72 45 103 43 0
79,7,0.35443711280822754,66,0.42325952649116516,-0.06882241368293762,66 17 78 0 65
80,1,0.5725575089454651,0,0.5678649544715881,0.004692554473876953,80 0 44 43 76
81,1,0.589796781539917,82,0.567131519317627,0.02266526222229004,81 82 17 46 45
82,24,0.3174680471420288,32,0.44245657324790955,-0.12498852610588074,32 49 8 66 42
83,17,0.4535087049007416,69,0.6611669659614563,-0.20765826106071472,69 89 74 68 71
84,5,0.4950896203517914,17,0.5209582448005676,-0.025868624448776245,17 46 41 14 84
85,2,0.601279079914093,78,0.6488184928894043,-0.04753941297531128,78 85 1 66 88
86,17,0.5304415225982666,0,0.618273138999939,-0.08783161640167236,0 45 76 43 44
87,1,0.5552674531936646,82,0.5055602788925171,0.04970717430114746,87 82 99 78 95
88,1,0.5556408166885376,78,0.54066401720047,0.014976799488067627,88 78 95 66 48
89,10,0.36444735527038574,66,0.45603951811790466,-0.09159216284751892,66 79 78 65 13
90,29,0.3966202139854431,103,0.4605417549610138,-0.06392154097557068,103 87 99 82 86
91,3,0.8250762224197388,43,0.8382927179336548,-0.013216495513916016,43 62 91 103 13
92,16,0.7850428819656372,43,0.8785194754600525,-0.09347659349441528,43 62 103 13 46
93,57,0.6239007115364075,62,0.8787794709205627,-0.2548787593841553,62 43 41 13 7
94,7,0.4143158197402954,66,0.45324182510375977,-0.038926005363464355,66 49 48 87 78
95,1,0.6972709894180298,78,0.6265745162963867,0.07069647312164307,95 78 96 82 80
96,32,0.38972535729408264,66,0.522710382938385,-0.13298502564430237,66 95 94 75 78
97,1,0.7061869502067566,78,0.6267046928405762,0.07948225736618042,97 78 81 98 99
98,1,0.6222776174545288,81,0.575501024723053,0.04677659273147583,98 81 87 82 97
99,2,0.6264129281044006,97,0.6528753638267517,-0.026462435722351074,97 99 98 81 82
100,12,0.6552525162696838,99,0.7450668811798096,-0.08981436491012573,99 54 82 103 94
101,3,0.34115874767303467,66,0.3679967224597931,-0.026837974786758423,66 103 101 47 17
102,1,0.5472944974899292,85,0.4971727430820465,0.05012175440788269,102 85 75 66 99
103,1,0.7980960607528687,43,0.7694715261459351,0.028624534606933594,103 43 62 82 104
104,69,0.30747970938682556,66,0.4691044092178345,-0.1616246998310089,66 17 65 41 68
105,10,0.7248246669769287,41,0.7693048715591431,-0.044480204582214355,41 46 6 90 7
