t,unit_id,n_selected,n_shortlisted,n_suppressed,top_sim,C,M,A
0,0,0,0,0,0.0,0,0,0
1,1,0,0,0,0.0,0,0,0
2,2,0,0,0,0.0,0,0,0
3,3,5,7,0,0.6489,7,0,0
4,4,5,7,0,0.4608,7,0,0
5,5,5,7,0,0.7324,7,0,0
6,6,5,16,0,0.5635,16,0,0
7,7,0,16,0,0.3373,15,1,0
8,8,1,16,0,0.3344,15,1,0
9,9,5,22,0,0.4909,21,1,0
10,10,5,22,0,0.4259,21,1,0
11,11,5,22,1,0.4732,21,1,0
12,12,5,27,0,0.4211,26,1,0
13,13,5,27,0,0.6494,26,1,0
14,14,3,27,0,0.3683,26,1,0
15,15,1,30,0,0.3556,36,1,0
16,16,5,30,0,0.4148,35,2,0
17,17,1,30,0,0.3041,35,2,0
18,18,5,30,0,0.5964,39,2,0
19,19,5,30,0,0.5266,38,3,0
20,20,1,30,0,0.3347,38,3,0
21,21,5,30,0,0.4756,49,3,0
22,22,5,30,0,0.5277,49,3,0
23,23,5,30,0,0.6324,48,4,0
24,24,5,30,1,0.7561,52,4,0
25,25,5,30,0,0.5368,52,4,0
26,26,5,30,1,0.6808,52,4,0
27,27,5,30,0,0.6816,56,5,0
28,28,5,30,0,0.6604,55,6,0
29,29,5,30,0,0.4426,54,7,0
30,30,5,30,0,0.5365,59,7,0
31,31,5,30,0,0.6115,59,7,0
32,32,5,30,0,0.6473,58,8,0
33,33,5,30,0,0.5446,64,8,0
34,34,5,30,0,0.6729,64,8,0
35,35,5,30,0,0.5251,64,8,0
36,36,5,30,0,0.4996,69,8,0
37,37,5,30,0,0.5022,69,8,0
38,38,5,30,1,0.7826,69,8,0
39,39,5,30,0,0.57,76,8,0
40,40,5,30,0,0.5607,76,8,0
41,41,5,30,0,0.4992,76,8,0
42,42,5,30,0,0.6767,84,8,0
43,43,5,30,0,0.482,84,8,0
44,44,5,30,0,0.4038,84,8,0
45,45,5,30,0,0.5289,89,8,0
46,46,5,30,0,0.3894,89,8,0
47,47,5,30,0,0.4009,89,8,0
48,48,5,30,0,0.356,98,8,0
49,49,5,30,0,0.7237,98,8,0
50,50,5,30,0,0.5899,98,8,0
51,51,5,30,0,0.6791,102,8,0
52,52,5,30,0,0.615,102,8,0
53,53,5,30,0,0.6552,102,8,0
54,54,5,30,0,0.4769,108,8,0
55,55,5,30,0,0.4259,108,8,0
56,56,5,30,1,0.8245,107,8,1
57,57,5,30,0,0.3823,111,8,2
58,58,5,30,0,0.4626,108,8,5
59,59,5,30,0,0.387,108,8,5
60,60,5,30,0,0.4038,114,8,5
61,61,5,30,0,0.5211,114,8,5
62,62,5,30,0,0.4504,114,8,5
63,63,5,30,0,0.4038,119,8,6
64,64,1,30,0,0.3411,117,8,8
65,65,5,30,0,0.3903,114,8,11
66,66,5,30,0,0.361,120,8,12
67,67,1,30,0,0.3155,114,8,18
68,68,5,30,0,0.4151,113,8,19
69,69,5,30,0,0.5106,118,8,19
70,70,5,30,0,0.5602,115,8,22
71,71,5,30,0,0.4582,114,8,23
72,72,5,30,0,0.525,117,8,23
73,73,5,30,0,0.5493,110,8,30
74,74,5,30,1,0.541,109,8,31
75,75,5,30,0,0.43,114,8,31
76,76,5,30,0,0.4801,112,8,33
77,77,5,30,0,0.4711,112,8,33
78,78,5,30,0,0.6758,117,8,34
79,79,5,30,0,0.4826,116,8,35
80,80,5,30,0,0.652,115,8,36
81,81,5,30,1,0.5841,118,8,36
82,82,5,30,0,0.4126,115,8,39
83,83,5,30,0,0.5899,113,8,41
84,84,5,30,0,0.5551,125,8,41
85,85,5,30,0,0.6061,120,8,46
86,86,5,30,0,0.6854,120,8,46
87,87,5,30,0,0.5998,124,8,47
88,88,5,30,0,0.5833,120,8,51
89,89,5,30,0,0.5145,120,8,51
90,90,5,30,0,0.506,121,8,56
91,91,5,30,0,0.764,115,8,62
92,92,5,30,0,0.7843,115,8,62
93,93,5,30,0,0.8004,122,8,63
94,94,5,30,0,0.4922,113,8,72
95,95,5,30,0,0.5884,112,8,73
96,96,5,30,0,0.512,118,8,73
97,97,5,30,0,0.6368,113,8,78
98,98,5,30,0,0.6241,113,8,78
99,99,5,30,0,0.6701,121,8,78
100,100,5,30,0,0.6785,115,8,84
101,101,5,30,0,0.3688,114,8,85
102,102,5,30,0,0.5591,121,8,85
103,103,5,30,0,0.7196,119,8,87
104,104,5,30,0,0.4481,117,8,89
105,105,5,30,0,0.724,119,8,91
