window_id,start_unit_id,end_unit_id,unit_ids,unit_count,start_time,end_time,user_chars,assistant_chars,assistant_turns
0,0,2,0 1 2,3,1788058199335,1788059049490,70,1967,3
1,3,5,3 4 5,3,1788059192793,1788061043720,340,6353,7
2,6,8,6 7 8,3,1788061180915,1788063940340,45,6061,44
3,9,11,9 10 11,3,1788064017108,1788064704898,95,1446,14
4,12,14,12 13 14,3,1788064740045,1788068310747,90,13793,90
5,15,17,15 16 17,3,1788068314582,1788069189338,42,2078,26
6,18,20,18 19 20,3,1788069225919,1788072526214,52,3524,13
7,21,23,21 22 23,3,1788072662379,1788073136622,125,1256,12
8,24,26,24 25 26,3,1788073266883,1788074142010,168,3234,10
9,27,29,27 28 29,3,1788074197794,1788074537137,143,2131,5
10,30,32,30 31 32,3,1788074581452,1788074863825,133,2527,6
11,33,35,33 34 35,3,1788074977395,1788076086937,262,2929,14
12,36,38,36 37 38,3,1788076097920,1788076837109,168,3394,12
13,39,41,39 40 41,3,1788076949541,1788077659608,90,8138,9
14,42,44,42 43 44,3,1788077975980,1788079949265,113,8327,19
15,45,47,45 46 47,3,1788081992086,1788082433682,589,8327,3
16,48,50,48 49 50,3,1788185287480,1788185809991,210,3105,4
17,51,53,51 52 53,3,1788186658703,1788223743064,174,5134,6
18,54,56,54 55 56,3,1788224068186,1788224317873,168,2719,3
19,57,59,57 58 59,3,1788224445196,1788224816984,38,5265,7
20,60,62,60 61 62,3,1788224908292,1788228765568,34,12113,51
21,63,65,63 64 65,3,1788229042858,1788233327476,29,2505,27
22,66,68,66 67 68,3,1788240771665,1788241065322,49,1199,9
23,69,71,69 70 71,3,1788241087758,1788241353875,69,953,5
24,72,74,72 73 74,3,1788241400196,1788242071628,117,951,4
25,75,77,75 76 77,3,1788243783320,1788244958711,82,2556,13
26,78,80,78 79 80,3,1788245163053,1788426384956,198,2210,8
27,81,83,81 82 83,3,1788426803492,1788431813610,112,25027,32
28,84,86,84 85 86,3,1788431907860,1788432113174,129,2466,3
29,87,89,87 88 89,3,1788432465919,1788432967396,157,1741,4
30,90,92,90 91 92,3,1788433222140,1788436750876,10860,5442,9
31,93,95,93 94 95,3,1788440109735,1788440745573,7872,3550,14
32,96,98,96 97 98,3,1788440784758,1788441380134,166,4674,10
33,99,101,99 100 101,3,1788441647424,1788443665327,288,7674,32
34,102,104,102 103 104,3,1788443894067,1788445237213,2588,8337,15
