t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
0,0.0,0.0,0.0,0,4,0,0,0,0.0,0,0
1,1.0,1.0,0.0,0,4,0,0,0,0.44999802758814866,0,0
2,0.3333333333333333,0.3333333333333333,0.0,0,6,0,0,0,0.4503456115592064,0,0
3,0.0,0.0,0.0,0,7,0,0,0,0.43666176560698367,0,0
4,0.0,0.0,0.0,0,9,1,0,0,0.40480212287274464,1,0
5,1.0,1.0,0.0,0,9,2,0,0,0.6050744724180414,1,0
6,0.0,0.0,0.0,0,10,4,0,0,0.5737475831793362,2,0
7,1.0,1.0,0.0,0,10,4,0,0,0.4514234184652066,0,0
8,1.0,1.0,0.0,0,10,4,0,0,0.4064753802615282,0,0
9,1.0,1.0,0.0,0,10,4,0,0,0.5483993607028306,0,0
10,1.0,1.0,0.0,0,11,4,0,0,0.5224856717046718,2,0
11,1.0,1.0,0.0,0,11,4,0,0,0.5764147043482399,0,0
12,0.0,0.0,0.0,0,12,4,0,0,0.5599378169600548,0,0
13,0.0,0.0,0.0,0,12,7,0,0,0.46456870484778645,3,0
14,0.0,0.0,0.0,0,12,8,0,0,0.43887710544398767,1,0
15,1.0,1.0,0.0,0,12,9,0,0,0.41736830379398077,3,0
16,0.0,0.0,0.0,0,13,9,0,0,0.4002385369333331,0,0
17,0.0,0.0,0.0,0,13,9,0,0,0.3923132829082898,0,0
18,1.0,1.0,0.0,0,13,9,0,0,0.3910436323277061,0,0
19,1.0,1.0,0.0,0,14,9,0,0,0.3669753030239709,2,0
20,1.0,1.0,0.0,0,14,9,0,0,0.38517489977661756,1,0
21,0.0,0.0,0.0,0,14,10,0,0,0.38112279981771746,1,0
22,0.0,0.0,0.0,0,14,11,0,0,0.3666450042946572,1,0
23,0.0,0.0,0.0,0,14,11,0,0,0.35938494678417254,0,0
24,0.0,0.0,0.0,0,15,11,0,0,0.3322501729292194,0,0
25,1.0,1.0,0.0,0,16,12,0,0,0.31124559646449385,4,0
26,0.0,0.0,0.0,0,16,13,0,0,0.2797982644871491,1,0
27,1.0,1.0,0.0,0,16,13,0,0,0.27366551207977025,3,0
28,1.0,1.0,0.0,0,17,15,0,0,0.2648392141096114,2,0
29,1.0,1.0,0.0,0,17,17,0,0,0.30935350357375374,2,0
30,1.0,1.0,0.0,0,17,17,0,0,0.3115800199117376,2,0
31,0.0,0.0,0.0,0,17,18,0,0,0.2893856961502464,1,0
32,1.0,1.0,0.0,1,17,17,0,0,0.2662386654238886,0,0
33,1.0,1.0,0.0,1,17,19,0,0,0.23950884476793505,5,0
34,1.0,1.0,0.0,1,17,20,0,0,0.2732505944820153,4,0
35,0.0,0.0,0.0,1,17,22,0,0,0.26731514799380307,2,0
36,1.0,1.0,0.0,1,18,23,0,0,0.2769886883221881,2,0
37,1.0,1.0,0.0,1,18,24,0,0,0.30178508197937964,2,0
38,1.0,1.0,0.0,1,18,24,0,0,0.2998172945670737,2,0
39,0.6666666666666666,0.6666666666666666,0.0,1,17,28,0,0,0.26054834967286133,10,0
40,1.0,1.0,0.0,1,17,30,0,0,0.29253293255578655,6,0
41,1.0,1.0,0.0,1,17,31,0,0,0.262428372243584,6,0
42,0.5,0.5,0.0,1,17,35,0,0,0.24616865120173081,9,0
43,1.0,1.0,0.0,1,17,37,0,0,0.23871571414016995,6,0
44,0.0,0.0,0.0,1,17,38,0,0,0.23454105527860264,1,0
45,1.0,1.0,0.0,1,17,39,0,0,0.2529337931878196,6,0
46,0.0,0.0,0.0,1,17,39,0,0,0.24792536851714586,0,0
47,0.0,0.0,0.0,1,17,40,0,0,0.2514679597445383,1,0
48,1.0,1.0,0.0,1,17,43,0,0,0.24401456670542976,7,0
49,0.0,0.0,0.0,1,17,43,0,0,0.23918275455218502,0,0
50,1.0,1.0,0.0,1,17,44,0,0,0.24185848761159556,5,0
51,1.0,1.0,0.0,1,17,46,0,0,0.2305089753095419,9,0
52,0.0,0.0,0.0,1,17,49,0,0,0.1845982445321368,3,0
53,1.0,1.0,0.0,1,18,50,0,0,0.1767214838560724,6,0
54,0.0,0.0,0.0,1,18,52,0,0,0.18649513758234726,2,0
55,0.0,0.0,0.0,1,18,54,0,0,0.19009264925351443,2,0
56,0.0,0.0,0.0,1,18,58,0,0,0.17255713735085598,4,0
57,1.0,1.0,0.0,1,18,59,0,0,0.17045423365348483,11,0
58,0.0,0.0,0.0,1,18,60,0,0,0.17216102471822298,1,0
59,1.0,1.0,0.0,1,18,60,0,0,0.15971444444534066,8,0
60,0.5,0.5,0.15789473684210525,1,18,62,0,0,0.11249427870196654,17,0
61,1.0,1.0,0.15789473684210525,1,18,64,0,0,0.12993591932425635,3,0
62,0.0,0.0,0.10526315789473684,0,19,65,0,0,0.11914530437812798,1,0
63,1.0,1.0,0.10526315789473684,0,19,68,0,0,0.08843654064240064,11,0
64,0.0,0.0,0.05263157894736842,0,19,70,0,0,0.10527355907993186,2,0
65,0.0,0.0,0.0,0,20,72,0,0,0.07690790931350405,2,0
66,1.0,1.0,0.0,0,20,73,0,0,0.10410496153592186,16,0
67,1.0,0.75,0.047619047619047616,1,20,73,0,0,0.09348725030278965,16,0
68,0.0,0.0,0.047619047619047616,1,20,75,0,0,0.09542894377634548,2,0
69,1.0,1.0,0.0,1,20,75,0,0,0.11904072961252854,19,0
70,0.0,0.0,0.0,1,20,78,0,0,0.13922429136993408,3,0
71,1.0,1.0,0.0,1,20,80,0,0,0.14514262005897288,8,0
72,0.0,0.0,0.0,1,20,81,0,0,0.14106463637841865,1,0
73,0.0,0.0,0.0,1,20,82,0,0,0.11220867915333976,1,0
74,1.0,1.0,0.0,1,20,84,0,0,0.06881614927655866,13,0
75,1.0,1.0,0.0,1,19,88,0,0,0.057589169841031906,8,0
76,0.0,0.0,0.0,1,19,91,0,0,0.08878279907209491,3,0
77,1.0,1.0,0.0,1,19,93,0,0,0.08296062441865992,10,0
78,0.0,0.0,0.0,1,19,93,0,0,0.08131789399187062,0,0
79,0.0,0.0,0.0,1,19,95,0,0,0.059689940448724,2,0
80,1.0,1.0,0.0,1,19,98,0,0,0.037651056588656306,12,0
81,0.0,0.0,0.0,1,19,99,0,0,0.04425569963222886,1,0
82,0.0,0.0,0.0,1,19,100,0,0,0.047244145035544305,1,0
83,0.0,0.0,0.0,0,20,102,0,0,0.0574764547613375,2,0
84,0.0,0.0,0.0,0,20,104,0,0,0.04960304281675404,2,0
85,0.0,0.0,0.0,0,20,105,0,0,0.051946303576981934,1,0
86,1.0,1.0,0.0,1,20,105,0,0,0.05868104193317758,23,0
87,0.0,0.0,0.0,1,20,105,0,0,0.05751907945115875,0,0
88,0.0,0.0,0.0,1,20,107,0,0,0.07415450866803763,2,0
89,0.0,0.0,0.0,1,20,108,0,0,0.05988907309015984,1,0
90,1.0,1.0,0.0,1,20,109,0,0,0.07497689996075108,17,0
91,1.0,1.0,0.0,1,20,113,0,0,0.053959396553829586,20,0
92,0.0,0.0,0.0,1,20,114,0,0,0.058737148784976545,1,0
93,0.0,0.0,0.0,1,20,116,0,0,0.06880572792255629,2,0
94,0.0,0.0,0.0,1,20,118,0,0,0.04562510132641706,2,0
95,1.0,1.0,0.0,1,20,119,0,0,0.04518768229863174,5,0
96,1.0,1.0,0.0,1,20,120,0,0,0.005187619902258578,3,0
97,1.0,1.0,0.0,1,20,120,0,0,-0.0037548254502363654,15,0
98,0.0,0.0,0.0,1,20,122,0,0,0.01336543607075269,2,0
99,0.0,0.0,0.0,1,20,124,0,0,0.021941772534308568,2,0
100,1.0,1.0,0.3,1,29,125,0,0,-0.043168028392803814,11,0
101,1.0,1.0,0.4117647058823529,1,33,127,0,0,-0.03207624896127348,11,0
102,1.0,1.0,0.5,1,39,127,0,0,-0.05699251258671112,6,0
103,0.0,0.0,0.65,1,39,134,0,0,-0.009664390951828195,1,6
104,1.0,1.0,0.7804878048780488,1,40,141,0,0,0.06331815519801626,17,7
105,0.0,0.0,0.775,1,39,146,0,0,0.09039724908802976,2,4
106,1.0,1.0,0.7631578947368421,1,37,157,0,0,0.09036578295356829,13,8
107,0.0,0.0,0.775,1,39,162,0,0,0.09388395766053409,1,4
108,1.0,1.0,0.75,1,39,168,0,0,0.05538067632614163,17,5
109,1.0,1.0,0.7804878048780488,1,40,175,0,0,0.006142188460694364,9,7
110,1.0,1.0,0.8536585365853658,1,40,184,0,0,0.0003457970313420766,18,9
111,1.0,1.0,0.85,2,38,191,0,0,0.015250812042419959,5,6
112,1.0,1.0,0.8095238095238095,3,39,203,0,0,0.005040882357224663,17,12
113,0.0,0.0,0.7674418604651163,3,40,210,0,0,-0.004837435899157694,1,7
114,1.0,0.41666666666666663,0.7555555555555555,6,39,214,0,0,0.0614660454783556,14,6
115,0.0,0.0,0.7954545454545454,6,38,224,0,0,0.11404240204061733,2,8
116,1.0,1.0,0.7954545454545454,6,38,236,0,0,0.10046044687431183,12,10
117,1.0,0.75,0.7872340425531915,7,40,240,0,0,0.07096411259828239,24,5
118,0.0,0.0,0.8043478260869565,7,39,249,0,0,0.08012398083451855,1,8
119,0.0,0.0,0.782608695652174,7,39,259,0,0,0.06636523211357215,1,9
120,0.0,0.0,0.7446808510638298,7,40,268,0,0,0.05549214444368755,0,9
121,0.0,0.0,0.7391304347826086,7,39,274,0,0,0.04638039697515156,1,5
122,1.0,0.5,0.7291666666666666,9,39,278,0,0,0.058315685141508034,2,5
123,1.0,1.0,0.7346938775510204,9,40,284,0,0,0.02403350354582834,16,6
124,1.0,0.6666666666666666,0.7291666666666666,10,38,295,0,0,0.060786022695242026,13,10
125,1.0,0.5,0.7254901960784313,12,39,298,0,0,0.05065333230203656,4,4
126,0.0,0.0,0.7450980392156863,12,39,302,0,0,0.04387630325850578,1,3
127,1.0,1.0,0.7647058823529411,12,39,311,0,0,0.03015063459555134,29,8
128,1.0,0.75,0.78,11,39,319,0,0,0.05492239188837439,43,6
129,1.0,0.6666666666666666,0.7647058823529411,11,40,329,0,0,0.10710975885721852,26,10
130,1.0,0.6666666666666666,0.7450980392156863,12,39,336,0,0,0.16180190952497758,36,7
131,1.0,0.75,0.74,13,37,350,0,0,0.12073017239970951,48,12
132,1.0,1.0,0.78,12,38,357,0,0,0.1552619136037791,21,4
133,1.0,0.5,0.7843137254901961,11,40,362,0,0,0.18882891605726448,27,4
134,1.0,0.5,0.76,11,39,375,0,0,0.21781710189237052,27,12
135,0.0,0.0,0.7254901960784313,11,40,385,0,0,0.20003114330548621,1,10
136,1.0,1.0,0.7450980392156863,12,39,396,0,0,0.15103942279404892,7,11
137,0.0,0.0,0.75,12,40,402,0,0,0.14224396732371386,0,6
138,0.0,0.0,0.7450980392156863,12,39,407,0,0,0.13275081116323006,1,4
139,1.0,1.0,0.7843137254901961,13,38,416,0,0,0.09044399469380204,40,8
140,0.0,0.0,0.7450980392156863,12,39,420,0,0,0.10027390622694515,2,2
141,0.0,0.0,0.76,12,38,423,0,0,0.11683243443163255,2,1
142,1.0,0.5,0.7450980392156863,11,40,424,0,0,0.1470997327160038,14,0
143,0.0,0.0,0.74,10,40,427,0,0,0.1732519445632571,1,2
144,1.0,0.75,0.7083333333333334,11,37,435,0,0,0.15177775816412592,23,6
145,0.0,0.0,0.7083333333333334,11,37,437,0,0,0.14492374241106026,2,0
146,1.0,1.0,0.7083333333333334,11,37,440,0,0,0.1358028272456035,25,0
147,1.0,0.8888888888888888,0.7083333333333334,12,36,444,0,0,0.13638284340210222,51,1
148,1.0,0.8888888888888888,0.68,12,38,447,0,0,0.17215289534152295,39,1
149,0.0,0.0,0.68,12,38,451,0,0,0.18991501487343182,3,2
150,1.0,1.0,0.68,12,38,452,0,0,0.19927612618915624,5,0
151,1.0,1.0,0.673469387755102,12,37,456,0,0,0.19864914563456415,5,1
152,1.0,1.0,0.6595744680851063,11,36,463,0,0,0.18500532957868443,54,2
153,1.0,1.0,0.6458333333333334,11,37,464,0,0,0.19174704790695773,4,0
154,1.0,0.75,0.6326530612244898,12,37,466,0,0,0.19991706002713477,11,0
155,1.0,1.0,0.62,12,38,469,0,0,0.19384579241928523,9,1
156,1.0,0.75,0.5961538461538461,12,40,469,0,0,0.20465493415997887,16,0
157,0.0,0.0,0.5510204081632653,12,37,476,0,0,0.18700122255841917,3,4
