preset,phase,seeds,queries,recall_at_k,recall_seed_sd,precision_at_k,context_efficiency,context_efficiency_seed_sd,redundancy,pollution,pollution_c,pollution_m,pollution_m_seed_sd,mean_c,mean_m,max_m,max_m_seed_sd,mean_tension_depth,scissors_gap,n_promote,n_demote,n_merge,n_evict,n_archive,n_revive,n_tension,n_resolve
ours,all,10,4310,0.8930394431554525,0.013456316638813028,0.7055912007332722,0.7055912007332722,0.04060689497112519,0.00018331805682858526,0.34152965367734067,0.3492296954437532,0.054468173336097866,0.013319292154781484,67.48545454545454,6.007727272727273,8,0.0,1.2822727272727272,0.45007658543019613,291,8,73,177,2472,47,147,132
ours,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9597938144329897,0.9597938144329897,0.047753090871789666,0.0,0.0,0.0,0.0,0.0,11.688333333333333,2.6033333333333335,8,1.636391694484477,0.0,nan,57,0,0,0,1,0,0,0
ours,drift,10,722,0.9265927977839336,0.042464227595811095,0.8967828418230563,0.8967828418230563,0.07116531937007692,0.0,0.08220315386262182,0.005608051402072299,0.2814642857142857,0.07030764788974854,15.4825,6.045,8,1.1005049346146119,3.89,-1.06954142462626,36,3,50,3,16,9,83,63
ours,noise,10,840,0.9892857142857143,0.017014530998172805,0.7426273458445041,0.7426273458445041,0.08690627524107411,0.0,0.8004752784679308,0.855259372754121,0.0,0.0,131.495,7.2025,8,0.6324555320336759,0.595,0.8408513362660145,53,1,10,34,22,13,8,24
ours,conflict,10,1569,0.9037603569152326,0.02982449679664018,0.5412213740458015,0.5412213740458015,0.053738806892912716,0.0003816793893129944,0.4974404193803139,0.52951141327292,0.0,0.0,103.33,7.945,8,0.0,1.28375,0.9671682182523665,145,4,13,140,2433,25,56,45
sfams_style,all,10,4310,0.34895591647331786,0.050822908529778214,0.5430615164520743,0.4303290414878398,0.09648513351874692,0.2606580829756795,0.4225216007276035,nan,0.4225216007276035,0.11114061517860531,0.0,7.911363636363636,8,0.0,0.0,-1.4235486787343776,0,0,0,6558,0,0,0,0
sfams_style,stable,10,1179,0.5029686174724343,0.07445972400588642,0.989517819706499,0.6215932914046122,0.17181740507397222,0.3721174004192872,0.0,nan,0.0,0.0,0.0,7.675,8,0.0,0.0,nan,0,0,0,794,0,0,0,0
sfams_style,drift,10,722,0.27977839335180055,0.05834636487840789,0.3196969696969697,0.30606060606060603,0.11807284840714113,0.296969696969697,0.5625,nan,0.5625,0.1473139127471974,0.0,8.0,8,0.0,0.0,-1.057882847598811,0,0,0,593,0,0,0,0
sfams_style,noise,10,840,0.27380952380952384,0.07421286716034704,0.3263157894736842,0.3026315789473684,0.10750663789547092,0.2763157894736842,0.58625,nan,0.58625,0.15617498199135482,0.0,8.0,8,0.0,0.0,-1.3242956344777048,0,0,0,2939,0,0,0,0
sfams_style,conflict,10,1569,0.3052899936265137,0.05376669973149988,0.4415700267618198,0.4272970561998216,0.05237664822420472,0.13380909901873328,0.58703125,nan,0.58703125,0.15634033846800915,0.0,8.0,8,0.0,0.0,-1.6560081164304976,0,0,0,2232,0,0,0,0
flat,all,10,4310,0.917401392111369,0.010312111975677702,0.8938531424299925,0.22735897878212868,0.007627522455314127,0.7235351618653326,0.3200067366556711,nan,0.3200067366556711,0.013818509437160753,0.0,287.00363636363636,706,27.563260571516814,0.0,0.0,0,0,0,0,0,0,0,0
flat,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9789649415692822,0.31085141903171953,0.030624035906919086,0.67779632721202,0.0,nan,0.0,0.0,0.0,43.318333333333335,104,9.406853293683755,0.0,nan,0,0,0,0,0,0,0,0
